trialnum	subject	answerPos0	answer0	response0	correct0	answerPos1	answer1	response1	correct1	cueSpatialPos	cueEccentricity	timingBlips
282 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	9 	0
283 	12 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[-1, 0] 	1.5 	0
284 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	3 	0
285 	12 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	1.5 	0
286 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	6.5 	0
287 	12 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[-1, 0] 	6.5 	0
288 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	1.5 	0
289 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	3 	0
290 	12 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[1, 0] 	9 	0
291 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	3 	0
292 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	1.5 	0
293 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	1.5 	0
294 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	9 	0
295 	12 	10 	G 	B 	0.0 	6 	B 	G 	0.0 	[-1, 0] 	6.5 	0
296 	12 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	1.5 	0
297 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	3 	0
298 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	9 	0
299 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	9 	0
300 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	9 	0
301 	12 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	9 	0
302 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	3 	0
303 	12 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	6.5 	0
304 	12 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[1, 0] 	3 	0
305 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	3 	0
306 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	9 	0
307 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	9 	0
308 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	6.5 	0
309 	12 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
310 	12 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[1, 0] 	9 	0
311 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	6.5 	0
312 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	9 	0
313 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
314 	12 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[1, 0] 	3 	0
315 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	6.5 	0
316 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	3 	0
317 	12 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	1.5 	0
318 	12 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[-1, 0] 	3 	0
319 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	6.5 	0
320 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	1.5 	0
321 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	3 	0
322 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	1.5 	0
323 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	3 	0
324 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	1.5 	0
325 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	3 	0
326 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	6.5 	0
327 	12 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	9 	0
328 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	6.5 	0
329 	12 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	6.5 	0
330 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	9 	0
331 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	1.5 	0
332 	12 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[1, 0] 	3 	0
333 	12 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	6.5 	0
334 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	6.5 	0
335 	12 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[-1, 0] 	9 	0
336 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	1.5 	0
337 	12 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[1, 0] 	1.5 	0
338 	12 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[1, 0] 	9 	0
339 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	3 	0
340 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	1.5 	0
341 	12 	10 	B 	G 	0.0 	14 	G 	B 	0.0 	[-1, 0] 	9 	0
342 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	6.5 	0
343 	12 	10 	B 	G 	0.0 	14 	G 	B 	0.0 	[1, 0] 	9 	0
344 	12 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	1.5 	0
345 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	9 	0
346 	12 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[1, 0] 	6.5 	0
347 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	9 	0
348 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	3 	0
349 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	1.5 	0
350 	12 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	3 	0
351 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	1.5 	0
352 	12 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[1, 0] 	1.5 	0
353 	12 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[1, 0] 	6.5 	0
354 	12 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[-1, 0] 	6.5 	0
355 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	3 	0
356 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	6.5 	0
357 	12 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	1.5 	0
358 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	6.5 	0
359 	12 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[1, 0] 	6.5 	0
