trialnum,subject,answerPos0,answer0,response0,correct0,answerPos1,answer1,response1,correct1,cueSpatialPos,cueEccentricity,timingBlips
342,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",3,0
343,23,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",6.5,0
344,23,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",6.5,0
345,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",1.5,0
346,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",3,0
347,23,10,B ,B ,1,11,G ,G ,1,"[1, 0] ",6.5,0
348,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",3,0
349,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",9,0
350,23,10,B ,G ,0,13,G ,B ,0,"[-1, 0] ",3,0
351,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",6.5,0
352,23,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",9,0
353,23,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",9,0
354,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",9,0
355,23,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",9,0
356,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",6.5,0
357,23,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",3,0
358,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",3,0
359,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",6.5,0
