Duration,Response,Stimulus condition
0.75,0.38403862299855973,0
0.75,0.06406231899927661,1
0.75,0.3440610520010523,1
0.75,0.5839951270008896,0
0.75,0.5680016829992383,1
0.75,0.615997396000239,0
0.75,0.4639964649995818,1
0.75,0.9439815240002645,1
0.75,0.35999480099962966,1
0.75,0.5279360489985265,1
0.75,0.8480055339987302,0
0.75,0.38403220899999724,1
0.75,0.45604023299893015,1
0.75,0.3759976990004361,1
0.75,0.4720103370000288,0
0.75,0.44002101800106175,0
0.825,0.463934468001753,0
0.75,0.48803380000026664,1
0.75,0.40807696000047144,1
0.825,0.5039567200001329,0
0.75,0.44799508899996,1
0.75,0.47992777900071815,1
0.825,0.5120673820001684,0
0.825,0.4079989450001449,1
0.75,0.559967516001052,1
0.75,0.4639680660002341,1
0.825,0.583963159000632,0
0.825,0.5599973389998922,0
0.9,0.5520353049996629,1
0.75,0.6959448400011752,1
0.9,0.4879868190000707,1
0.9,0.5599934410001879,0
0.9,0.6320018360001995,0
0.75,1.2160065909993136,0
0.975,0.6640289730003133,0
0.9,0.49601157500001136,1
0.9,0.4960088999996515,1
0.75,0.655921388999559,0
0.825,0.5600196900013543,0
0.975,0.5920029369990516,1
0.9,0.6719909229996119,1
0.75,0.5599820349998481,1
0.9,0.6960120240000833,1
0.975,0.6400285710005846,1
0.825,0.6400445110011788,1
0.75,0.528049305001332,1
1.05,0.5919823979984358,1
0.75,0.6320187820001593,0
0.975,0.5439961659994879,0
0.9,0.7439514829984546,0
0.975,0.9120145029992273,1
0.75,0.8399947460002295,0
1.05,0.6720162020010321,1
0.75,0.8240289620007388,0
0.9,0.6399939080001786,1
0.825,0.4320222280002781,0
0.9,0.5999791109989019,0
0.975,0.6959804399994027,1
1.05,0.792036097998789,1
1.05,0.6079915359987353,1
0.9,0.672041812000316,1
0.825,0.8561298889999307,0
1.05,0.5919919209991349,0
1.05,0.6720541009999579,0
1.125,0.8559946599998511,1
1.05,0.7999517030002607,1
0.75,0.6559431010009575,1
0.975,0.7440640319982776,1
0.975,0.7279811980006343,1
1.25,0.7760129670004972,0
0.9,0.7920368679988314,0
1.05,0.7920236659992952,1
0.9,0.8799911199985218,0
1.375,0.6239362400010577,1
0.9,0.848043781999877,0
1.05,0.8960317380006018,0
0.975,0.872015418999581,1
0.825,0.1040255560001242,1
1.375,0.9600816969996231,1
0.9,0.7520249120007065,1
1.375,1.0240790539992304,0
1.25,0.9280042979989958,0
1.125,0.9359512699993502,0
0.75,0.8159452890013199,0
0.975,0.711950244000036,0
0.75,0.9040241849997983,1
0.75,0.7680092319988034,0
0.9,0.559982417998981,0
1.05,0.815932433000853,1
1.05,0.8079386929985048,1
0.9,0.8399726170009671,1
1.05,0.7600159430003259,1
1.375,1.0399738609994529,1
1.45,1.000001913998858,0
0.825,1.080042562000017,0
1.25,0.7359874069989019,0
1.25,0.6879970590016455,1
1.525,0.6800187310000183,1
0.975,0.7360092290000466,0
1.45,0.9279930489992694,1
