Duration,Response,Stimulus condition
0.75,0.8160341790007806,0
0.75,0.6400707780012453,1
0.75,0.5039857780011516,0
0.75,0.5040363720017922,1
0.75,0.6000776239998231,0
0.75,0.6320653759994457,0
0.75,0.6640125230005651,1
0.75,0.6720045759993809,0
0.75,0.6638846969999577,0
0.75,0.5919924700010597,0
0.75,0.6480163209998864,0
0.75,0.6641001999996661,0
0.825,0.7120160140002554,0
0.75,0.6080154119990766,0
0.75,0.6800013960000797,1
0.825,0.7440289359983581,0
0.825,0.6719919979987026,0
0.75,0.6879891880016658,0
0.75,0.6879961979975633,1
0.75,0.5760122009996849,0
0.75,0.7040077599995129,1
0.825,0.7120209329987119,1
0.825,0.800036271000863,0
0.9,0.8319547089995467,1
0.75,0.7680148029976408,1
0.825,0.8000128240018967,0
0.825,0.5279772499998217,1
0.825,0.7119531520002056,0
0.75,0.7119941739983915,1
0.825,0.711982409000484,0
0.9,0.7439361290016677,1
0.75,0.6400442919984926,1
0.9,0.6799487639982544,1
0.825,0.6640569040027913,1
0.825,0.7119724709991715,0
0.975,0.744012016999477,1
0.75,0.7119826169982844,1
0.75,0.6800110590011172,1
0.975,0.6639812860012171,0
0.9,0.8000373970025976,0
0.975,0.7279954869991343,1
0.825,0.8239922080028919,0
1.05,0.6959608689976449,1
0.975,0.6239956000026723,1
1.05,0.8080601109977579,0
0.75,0.8319918409979437,1
0.825,0.6479945080027392,0
1.05,0.7119588280002063,1
0.9,0.7280690370025695,1
0.9,0.8320028019988968,0
0.75,0.6080075659992872,0
1.125,0.8959582269999373,0
1.05,0.8080853449973802,1
0.9,0.7519779879985435,1
0.75,0.5520261120000214,1
0.825,0.6319806150022487,0
1.05,0.7200231079987134,1
0.825,0.6399139360000845,1
0.975,0.7440176239979337,0
0.825,0.7759824179993302,0
0.825,0.7840024750003067,0
0.9,0.7760533399996348,1
1.125,0.8880329660023563,0
1.125,0.9040003099980822,1
1.25,0.9279691910014662,0
1.125,1.0640091839995875,1
0.825,0.936035921000439,1
0.975,0.8560062310025387,1
1.05,0.8879659440026444,1
0.825,0.5520421149994945,0
1.125,0.8720115649994113,0
1.375,0.840011283999047,0
0.825,0.8319655180021073,0
1.05,0.8959893810024369,0
1.25,0.9520514139985607,1
1.25,0.8720593310026743,0
1.125,0.9519893319993571,0
0.9,0.9519848659983836,1
1.25,0.8961291410014383,1
0.975,0.9040105370004312,1
1.375,1.0400172170011501,0
1.125,0.9680549849981617,0
1.375,1.1280132009997033,0
0.825,0.864037498999096,1
1.45,0.9119912679998379,1
0.75,0.664017679002427,1
0.975,0.8240146290008852,1
0.825,0.8480897879999247,1
0.825,0.7360131309978897,0
1.45,0.8720443350030109,1
1.45,1.0719859050004743,1
1.05,1.0159795229992596,0
1.45,1.2239511539992236,0
0.9,0.976036653999472,1
1.525,1.3439560670012725,0
1.125,0.7679867629994988,1
1.125,1.0079733269994904,0
1.125,1.080032215002575,0
1.525,1.215993575999164,0
0.975,1.0400251840001147,0
