X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,1009,83,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,odd
Chrome,1050,null,null,1013,76,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,odd
Chrome,1050,null,null,982,83,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,red
Chrome,1050,null,null,969,83,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,red
Chrome,1050,null,null,1010,76,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,odd
Chrome,1050,null,null,956,83,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,red
Chrome,1050,null,null,957,76,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,colorful
Chrome,1050,null,null,1019,76,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,colorful
Chrome,1050,null,null,988,76,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,colorful
Chrome,1050,null,null,1001,76,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,colorful
Chrome,1050,null,null,971,83,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,odd
Chrome,1050,null,null,1019,76,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,odd
Chrome,1050,null,null,991,83,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,odd
Chrome,1050,null,null,989,76,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,colorful
Chrome,1050,null,null,1014,83,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,red
Chrome,1050,null,null,1002,83,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,red
Chrome,1050,null,null,985,76,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,colorful
Chrome,1050,null,null,1048,83,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,red
Chrome,1050,null,null,961,76,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,colorful
Chrome,1050,null,null,981,83,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,odd
Chrome,1050,null,null,994,83,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,red
Chrome,1050,null,null,977,76,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,colorful
Chrome,1050,null,null,951,76,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,colorful
Chrome,1050,null,null,1040,83,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,odd
Chrome,1050,null,null,979,76,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,red
Chrome,1050,null,null,1000,83,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,red
Chrome,1050,2019-09-03T15:03:28.819Z,none,1010,76,2019-09-03T14:51:34.196Z,AG9LWKO86TNHG,odd
