Duration,Stimulus_condition,Response
1.375,1,1.097382066
1.05,0,1.100830786
1.45,0,1.07977008
0.825,0,0.540390552
1.525,1,1.019536145
1.05,0,1.047804117
1.05,0,1.041064371
1.375,0,1.168070578
0.75,1,0.852890525
1.125,0,0.77618653
0.75,1,0.498783712
0.9,0,0.703123507
1.525,0,0.888871099
0.975,0,0.796972497
1.25,1,0.799771048
0.975,1,0.569877503
1.375,0,0.730029252
1.05,0,0.868900726
1.525,0,1.151435103
1.525,2,1.484163414
1.525,1,1.298834951
0.975,0,0.832429502
0.75,0,0.726704422
0.825,1,1.003585271
1.25,0,0.978226803
1.05,1,1.088719111
0.75,0,0.71907225
0.9,2,0.581610515
0.975,1,0.871175187
1.525,0,1.363697755
0.75,0,1.101659132
1.45,0,1.269034736
1.05,2,0.677961289
1.45,2,1.123247882
0.825,0,0.592742187
1.45,1,1.226671475
1.125,0,0.935260636
0.9,0,1.157573257
0.825,0,0.596622726
0.975,0,1.042586658
1.375,2,0.991693154
0.975,2,0.758252486
1.45,2,1.270642774
1.25,0,1.19733739
0.975,2,0.838055793
0.975,2,0.817390488
1.25,2,0.888365718
1.375,0,1.196260433
1.125,0,0.960090865
0.825,1,0.757130354
0.9,2,0.757956439
1.375,1,0.728135061
1.125,0,0.869193792
0.9,0,0.76745345
0.75,0,0.945545174
1.125,0,1.070299369
1.125,1,1.094016945
1.25,2,1.197441574
1.375,0,1.329335483
0.75,2,0.852919793
0.9,1,0.89425753
0.9,1,0.860745182
0.975,1,0.707030495
1.25,2,1.064949378
1.45,0,1.128939742
0.825,2,0.679521257
0.9,1,1.011140831
1.45,1,1.26475224
1.125,1,1.526336614
1.125,0,0.788110735
1.45,0,1.17525193
0.75,0,0.688108027
0.75,1,1.037152137
1.45,1,1.130005986
1.525,0,1.289245749
1.125,2,1.027725362
1.125,2,0.87824647
0.975,0,1.071133426
1.05,1,0.860190256
0.825,2,0.941447176
1.525,1,1.678668898
1.25,0,0.897189315
1.525,0,1.293112483
0.75,2,0.706162931
1.05,2,1.188325303
0.9,0,0.630768114
0.825,0,0.793815949
1.25,1,1.177276003
0.9,0,0.736962062
1.05,0,0.982294074
1.45,2,1.25770185
0.825,2,1.030837758
0.975,0,0.910780147
1.375,1,0.920208987
1.125,1,1.26305109
1.375,2,1.268098691
1.45,0,1.398481026
1.05,0,0.932587767
1.375,0,1.4711775
0.825,0,0.592476219
0.75,2,0.572945303
1.05,2,0.903111834
1.25,1,0.942760456
1.25,0,1.072048261
0.825,0,0.73591565
0.75,0,0.856261313
1.25,0,0.999741714
1.375,2,1.178216719
0.9,2,0.785797748
0.9,0,1.00761677
1.25,0,0.890221623
1.375,0,1.127239462
1.525,2,1.560444342
1.45,0,1.120906707
1.05,1,0.928052697
0.825,1,0.605203585
1.125,2,1.068737937
1.525,2,1.097581825
0.975,0,0.937590955
1.525,0,1.268831984
