Duration,Stimulus_condition,Response
1.375,0,1.394537883
1.45,0,1.13931227
1.45,2,0.991751464
0.75,0,0.875089162
0.75,2,0.531111468
0.975,0,0.966309806
0.75,1,0.798996512
0.825,2,0.684009633
1.375,0,1.06371331
1.25,0,0.584577332
0.975,1,0.871994829
1.375,0,1.095735229
1.375,2,0.792215755
0.825,2,0.633872273
0.9,2,0.651535907
0.9,0,0.874920112
1.375,1,0.953013205
1.05,2,0.901096215
1.25,0,0.958667161
1.05,1,0.859805397
0.825,1,0.650662981
1.05,1,0.956099811
1.375,1,1.025455149
1.525,1,1.165180642
1.45,0,1.191689606
1.525,2,1.595207533
0.75,0,0.735408969
0.9,0,0.82767124
0.9,2,0.908609123
0.975,1,0.778852075
1.25,1,1.107437747
0.75,0,0.725792348
0.9,0,0.865012642
0.75,0,0.715685302
0.975,0,0.788338059
1.25,0,0.948794374
1.375,0,1.226683125
1.45,1,1.103907049
0.75,1,0.784118391
0.825,0,0.721110614
0.75,2,0.641865717
0.975,2,0.651334355
1.125,2,0.82814228
1.375,0,0.911742558
0.975,0,1.232468093
0.975,2,1.044341279
1.05,0,0.78523062
1.05,2,0.919256793
1.525,0,1.315755703
1.25,2,1.063107488
1.45,2,1.095156102
0.9,2,0.879823616
0.975,0,0.904740288
1.25,1,0.930475649
1.05,0,0.738615819
1.525,1,1.160752021
1.45,0,1.232241414
1.525,0,1.304821129
0.825,1,0.878027364
1.125,2,1.026881547
1.125,1,1.394373409
1.25,2,0.995303004
1.45,0,1.040147755
0.9,0,0.66082979
0.75,1,0.65192258
1.375,1,0.957235201
1.125,0,0.813844866
1.525,0,0.969877886
0.975,1,1.228821144
1.125,1,1.116294131
0.825,2,0.904063943
1.375,2,0.907021159
1.125,0,0.961464756
1.05,2,1.028126223
1.05,1,0.997293823
1.525,2,1.229209355
0.825,0,0.737685519
0.975,0,0.849888523
1.375,0,1.039532605
1.05,0,0.997205656
1.25,0,1.038564729
1.45,1,1.330569071
1.525,0,1.436218313
0.75,0,0.786193631
1.525,1,1.141477679
1.525,0,1.133108212
0.9,1,0.750792968
1.25,0,0.937703183
1.375,2,1.036207706
1.125,2,1.055653953
0.825,0,0.810213735
1.05,0,0.962692699
1.45,1,1.171633309
0.9,1,0.939813567
1.525,0,0.949004872
0.75,0,0.780935769
1.45,0,1.047279967
0.9,0,0.86586444
1.05,0,0.911385234
0.9,0,0.902870125
0.825,0,0.787263046
0.825,0,0.690581928
1.05,0,0.952862121
1.45,2,1.094049617
1.25,0,1.040302464
1.125,1,1.006271911
0.825,1,0.815058905
1.125,0,0.988510566
0.975,0,0.920038523
1.45,0,1.197011383
1.25,1,1.067349659
1.525,2,1.168884963
1.25,2,1.117310424
0.75,2,0.748311168
0.9,1,0.717037994
0.975,2,0.809009682
0.825,0,0.760784871
1.125,0,0.941269969
1.125,0,0.844301359
1.125,0,0.892418666
