Duration,Stimulus_condition,Response
1.25,1,1.792273886
1.525,0,1.221643405
1.125,0,1.123453988
1.45,0,1.317480015
1.525,2,1.40952681
1.25,0,1.190163152
1.375,0,1.171742023
0.825,2,0.851068363
0.9,1,0.862970454
0.75,0,0.837321686
1.525,0,1.225115804
1.125,2,1.097687947
1.45,0,1.315823366
1.375,0,1.38658757
0.9,2,0.840610134
0.975,1,0.882479389
0.975,0,0.901158644
1.05,2,0.940212057
1.375,2,1.296049702
1.375,0,1.331430672
1.45,0,1.45013238
0.975,2,0.872846977
0.75,0,0.814338615
1.25,2,0.848109382
0.9,0,0.78984222
1.375,1,0.916417545
0.825,2,0.807871143
1.375,2,0.994445964
0.975,0,0.785466517
1.375,1,1.008279253
1.45,1,1.196018405
1.25,2,1.197815326
0.975,2,0.86373084
0.75,0,0.782943334
0.975,0,0.831949816
0.825,1,0.750830313
1.125,0,1.038773208
0.75,1,0.7539455
1.05,1,0.978663744
1.125,1,1.077578171
1.525,2,1.407656974
0.825,2,0.803249028
0.75,0,0.799159768
0.9,0,0.785728858
1.375,0,1.115376649
0.9,1,0.776779447
1.525,0,1.208620285
1.525,1,1.257461257
1.525,0,1.374767695
1.45,0,1.330491455
0.75,0,0.744432847
0.975,1,0.731719213
1.05,0,0.854901052
0.9,0,0.839370018
1.525,1,1.360701776
1.25,0,1.128835132
0.9,0,0.884841994
1.25,1,0.913850853
1.25,0,1.017390462
1.525,2,1.242024931
1.05,0,1.04002334
1.125,1,1.00176241
0.75,1,0.748021731
0.825,0,0.871130097
1.45,0,1.25631115
0.825,0,0.864603814
0.75,2,0.801423042
1.45,2,1.207573952
1.45,1,1.247875375
1.375,2,1.146773693
1.125,0,0.906192886
0.9,0,0.887734119
0.825,0,0.869818611
1.45,2,1.182581397
1.05,2,1.009399455
1.05,0,1.021680513
1.05,0,0.139240247
1.375,0,1.081053278
1.125,1,0.881933938
1.125,2,0.942939952
1.25,0,1.086600582
1.25,2,1.108442489
0.75,2,0.761787452
1.525,0,1.354977998
0.975,0,0.812010824
1.05,2,0.87817789
0.825,0,0.834953692
1.25,0,0.817499268
1.375,1,0.976779906
0.825,0,0.628723767
0.9,1,0.694504802
1.45,0,0.893491717
0.975,0,0.884695606
0.75,0,0.69754811
1.525,0,1.331132005
0.75,1,0.750039463
0.75,2,0.74181407
0.9,2,0.8003578
1.45,2,1.299279151
0.825,1,0.812135427
1.05,0,0.893473058
1.525,1,1.245081121
1.375,0,1.230412393
0.9,0,0.840829265
1.05,1,0.894727521
1.25,1,0.348359876
1.125,0,0.916460012
0.9,2,0.181700572
1.05,1,0.958054765
0.825,0,0.843881435
1.125,2,0.930535635
1.25,0,1.137030482
0.825,1,0.933856998
0.975,2,0.883841545
0.975,1,0.862102348
1.45,1,1.024453939
1.05,0,1.006466566
0.975,0,0.994799968
1.125,0,0.919652748
1.125,0,1.037637324
