Duration,Stimulus_condition,Response
1.375,1,1.145888587
0.75,0,0.783583028
1.525,0,1.505076749
0.825,2,0.793672043
0.825,0,0.861137696
1.525,0,1.212401968
0.9,0,1.014143739
0.9,0,0.795969346
1.375,0,1.050932809
1.45,0,1.20560525
1.25,0,1.081416331
1.125,0,1.012772672
0.75,2,0.719939597
1.45,2,1.181856664
0.975,0,1.026343143
1.25,0,0.75605892
1.25,1,0.96337299
1.125,1,1.039966903
0.9,0,0.86222494
1.375,0,1.019451818
1.125,0,1.000355763
0.975,1,0.908187023
1.525,0,1.100253786
1.45,2,1.202967283
0.75,1,0.608648119
1.05,0,0.968673208
1.125,2,1.013454601
0.9,1,0.884630901
1.525,2,1.380512845
0.825,2,0.835992313
0.9,2,0.76398273
1.375,2,1.533179756
0.825,0,0.755200291
1.375,0,1.332098768
1.45,0,1.182717986
0.75,1,0.858093693
0.975,1,0.856193361
1.525,1,1.129463218
0.975,2,0.78865527
0.75,2,0.61954602
1.375,2,1.114039061
0.975,2,0.828647464
1.05,0,0.998874971
1.45,0,1.146092123
0.9,0,1.085778704
0.825,1,0.668212157
1.05,1,1.002368933
0.75,0,0.910988093
1.525,0,1.018462438
1.525,2,1.123016996
0.975,0,0.930747949
1.525,1,1.253560815
1.525,1,1.357647727
0.75,0,0.70570217
1.05,0,1.029744898
0.9,0,1.006855731
0.975,1,0.999672489
1.25,1,1.080847858
0.825,1,0.973251565
1.25,2,1.07083056
1.45,2,1.088253538
1.375,0,1.253680873
1.25,2,1.060133949
0.9,1,1.01513081
1.125,0,1.191187185
1.25,0,0.971875382
1.25,0,1.045184873
1.05,0,1.014568538
1.25,0,1.013267236
1.125,1,0.979086646
0.75,0,0.635856095
0.975,0,0.775044231
1.375,1,1.218893321
1.525,2,1.215835455
0.975,2,0.957433784
1.375,0,1.003993713
1.125,0,1.071293037
1.375,1,1.068041958
0.975,0,1.104855558
1.375,2,1.093335137
0.975,0,0.986649774
1.45,0,1.154058158
0.9,2,1.029644929
0.825,0,0.922519858
1.05,1,0.911776521
0.75,2,0.951215631
1.125,2,0.995902228
0.825,0,0.975379534
0.75,1,0.93221694
1.45,0,0.89145147
1.125,0,1.105962704
0.75,0,0.962499219
1.05,0,0.884221138
0.9,0,0.991849411
0.975,0,0.889968885
1.45,1,1.351439199
1.05,2,0.953216164
1.45,1,1.273046055
0.825,2,0.906145396
0.9,1,0.875559852
1.45,1,1.24734426
1.05,1,1.139882922
1.05,0,1.07802377
1.25,0,1.201190698
1.05,2,1.109796061
1.125,0,1.099353129
0.825,0,0.854035434
0.9,2,0.799947331
0.825,0,0.772236798
1.25,1,1.111462112
1.375,0,1.42642635
0.75,0,0.784597694
0.825,1,0.684225539
1.125,2,0.956602595
1.05,2,1.078256623
1.25,2,1.07569549
1.45,0,1.542151496
1.125,1,1.225844008
1.525,0,1.027094054
1.525,0,1.061009261
