trialnum,subject,answerPos0,answer0,response0,correct0,answerPos1,answer1,response1,correct1,cueSpatialPos,cueEccentricity,timingBlips
85,pilot ,20,2,2,1,19,1,1,1,"[-1, 0] ",3,0
86,pilot ,20,2,2,1,17,1,1,1,"[-1, 0] ",3,0
87,pilot ,10,1,2,0,12,2,1,0,"[1, 0] ",6,0
88,pilot ,20,2,2,1,18,1,1,1,"[1, 0] ",9,0
89,pilot ,20,1,2,0,20,2,1,0,"[1, 0] ",6,0
90,pilot ,10,1,1,1,13,2,2,1,"[-1, 0] ",3,0
91,pilot ,20,2,2,1,19,1,1,1,"[-1, 0] ",6,0
92,pilot ,10,1,1,1,12,2,2,1,"[1, 0] ",3,0
93,pilot ,10,1,2,0,10,2,1,0,"[1, 0] ",3,0
94,pilot ,20,1,2,0,21,2,1,0,"[1, 0] ",3,0
95,pilot ,20,2,2,1,19,1,1,1,"[1, 0] ",3,0
96,pilot ,10,1,2,0,12,2,1,0,"[1, 0] ",9,0
97,pilot ,10,1,1,1,13,2,2,1,"[-1, 0] ",9,0
98,pilot ,20,1,1,1,23,2,2,1,"[1, 0] ",9,0
99,pilot ,20,2,2,1,18,1,1,1,"[-1, 0] ",6,0
100,pilot ,10,1,2,0,11,2,1,0,"[-1, 0] ",9,0
101,pilot ,20,2,2,1,17,1,1,1,"[1, 0] ",9,0
102,pilot ,10,2,2,1,8,1,1,1,"[1, 0] ",9,0
103,pilot ,20,1,1,1,21,2,2,1,"[-1, 0] ",3,0
104,pilot ,10,2,2,1,9,1,1,1,"[1, 0] ",9,0
105,pilot ,20,2,2,1,17,1,1,1,"[1, 0] ",6,0
106,pilot ,10,2,2,1,7,1,1,1,"[-1, 0] ",6,0
107,pilot ,20,1,1,1,22,2,2,1,"[1, 0] ",3,0
108,pilot ,20,2,2,1,17,1,1,1,"[-1, 0] ",6,0
109,pilot ,20,2,2,1,19,1,1,1,"[-1, 0] ",9,0
110,pilot ,20,1,1,1,23,2,2,1,"[-1, 0] ",3,0
111,pilot ,20,1,1,1,23,2,2,1,"[-1, 0] ",6,0
112,pilot ,10,2,2,1,8,1,1,1,"[1, 0] ",6,0
113,pilot ,10,1,1,1,13,2,2,1,"[1, 0] ",3,0
114,pilot ,10,1,1,1,12,2,2,1,"[-1, 0] ",9,0
115,pilot ,10,1,2,0,10,2,1,0,"[-1, 0] ",6,0
116,pilot ,10,2,2,1,9,1,1,1,"[-1, 0] ",9,0
117,pilot ,10,2,2,1,7,1,1,1,"[1, 0] ",9,0
118,pilot ,20,1,2,0,23,2,1,0,"[-1, 0] ",9,0
119,pilot ,10,1,2,0,11,2,1,0,"[1, 0] ",3,0
120,pilot ,10,2,2,1,7,1,1,1,"[-1, 0] ",3,0
121,pilot ,20,2,2,1,18,1,1,1,"[1, 0] ",3,0
122,pilot ,10,2,2,1,9,1,1,1,"[1, 0] ",6,0
123,pilot ,10,2,2,1,8,1,1,1,"[1, 0] ",3,0
124,pilot ,20,1,2,0,21,2,1,0,"[-1, 0] ",6,0
125,pilot ,10,2,2,1,8,1,1,1,"[-1, 0] ",6,0
126,pilot ,20,1,1,1,20,2,2,1,"[1, 0] ",3,0
127,pilot ,20,2,2,1,17,1,1,1,"[1, 0] ",3,0
128,pilot ,20,1,1,1,23,2,2,1,"[1, 0] ",6,0
129,pilot ,10,1,1,1,13,2,2,1,"[-1, 0] ",6,0
130,pilot ,20,1,1,1,23,2,2,1,"[1, 0] ",3,0
131,pilot ,10,1,2,0,10,2,1,0,"[1, 0] ",9,0
132,pilot ,10,1,2,0,10,2,1,0,"[-1, 0] ",9,0
133,pilot ,20,1,2,0,20,2,1,0,"[1, 0] ",9,0
134,pilot ,10,1,2,0,11,2,1,0,"[1, 0] ",6,0
135,pilot ,20,1,1,1,20,2,2,1,"[-1, 0] ",3,0
136,pilot ,10,1,2,0,13,2,1,0,"[1, 0] ",6,0
137,pilot ,10,2,2,1,8,1,1,1,"[-1, 0] ",3,0
138,pilot ,10,1,2,0,10,2,1,0,"[1, 0] ",6,0
139,pilot ,10,1,1,1,12,2,2,1,"[-1, 0] ",3,0
140,pilot ,10,1,2,0,10,2,1,0,"[-1, 0] ",3,0
141,pilot ,20,1,1,1,22,2,2,1,"[-1, 0] ",6,0
142,pilot ,20,2,1,0,18,1,2,0,"[-1, 0] ",9,0
143,pilot ,20,2,2,1,18,1,1,1,"[-1, 0] ",3,0
144,pilot ,10,1,2,0,11,2,1,0,"[1, 0] ",9,0
145,pilot ,10,1,2,0,13,2,1,0,"[1, 0] ",9,0
146,pilot ,10,1,2,0,12,2,1,0,"[-1, 0] ",6,0
147,pilot ,20,1,1,1,22,2,2,1,"[1, 0] ",9,0
148,pilot ,20,1,2,0,21,2,1,0,"[1, 0] ",9,0
149,pilot ,20,1,2,0,20,2,1,0,"[-1, 0] ",6,0
150,pilot ,10,2,2,1,7,1,1,1,"[1, 0] ",3,0
151,pilot ,20,2,1,0,17,1,2,0,"[-1, 0] ",9,0
152,pilot ,10,2,2,1,9,1,1,1,"[-1, 0] ",6,0
153,pilot ,20,1,1,1,22,2,2,1,"[-1, 0] ",3,0
154,pilot ,20,1,1,1,22,2,2,1,"[-1, 0] ",9,0
155,pilot ,20,1,2,0,22,2,1,0,"[1, 0] ",6,0
156,pilot ,20,2,2,1,19,1,1,1,"[1, 0] ",9,0
157,pilot ,10,2,2,1,9,1,1,1,"[-1, 0] ",3,0
158,pilot ,20,1,2,0,21,2,1,0,"[1, 0] ",6,0
159,pilot ,20,1,2,0,21,2,1,0,"[-1, 0] ",9,0
160,pilot ,20,2,2,1,19,1,1,1,"[1, 0] ",6,0
161,pilot ,10,2,2,1,7,1,1,1,"[-1, 0] ",9,0
162,pilot ,20,2,2,1,18,1,1,1,"[1, 0] ",6,0
163,pilot ,20,1,2,0,20,2,1,0,"[-1, 0] ",9,0
164,pilot ,10,1,1,1,11,2,2,1,"[-1, 0] ",3,0
165,pilot ,10,2,2,1,8,1,1,1,"[-1, 0] ",9,0
166,pilot ,10,2,2,1,9,1,1,1,"[1, 0] ",3,0
167,pilot ,10,1,1,1,11,2,2,1,"[-1, 0] ",6,0
168,pilot ,10,2,2,1,8,1,1,1,"[1, 0] ",9,0
169,pilot ,20,1,1,1,23,2,2,1,"[1, 0] ",9,0
170,pilot ,10,2,2,1,8,1,1,1,"[-1, 0] ",6,0
171,pilot ,20,2,2,1,19,1,1,1,"[1, 0] ",6,0
172,pilot ,10,1,1,1,13,2,2,1,"[-1, 0] ",6,0
173,pilot ,10,1,2,0,10,2,1,0,"[1, 0] ",9,0
174,pilot ,10,1,1,1,12,2,2,1,"[1, 0] ",3,0
175,pilot ,20,1,1,1,23,2,2,1,"[1, 0] ",6,0
176,pilot ,10,1,2,0,11,2,1,0,"[-1, 0] ",9,0
177,pilot ,10,2,2,1,8,1,1,1,"[-1, 0] ",3,0
178,pilot ,10,2,2,1,8,1,1,1,"[1, 0] ",6,0
179,pilot ,10,2,2,1,8,1,1,1,"[-1, 0] ",9,0
180,pilot ,10,1,2,0,10,2,1,0,"[-1, 0] ",6,0
181,pilot ,20,2,2,1,18,1,1,1,"[-1, 0] ",6,0
182,pilot ,10,1,1,1,12,2,2,1,"[-1, 0] ",6,1
183,pilot ,20,1,2,0,22,2,1,0,"[1, 0] ",9,0
184,pilot ,10,1,1,1,10,2,2,1,"[1, 0] ",3,1
185,pilot ,20,1,1,1,23,2,2,1,"[-1, 0] ",9,0
186,pilot ,20,1,1,1,23,2,2,1,"[-1, 0] ",3,0
187,pilot ,20,2,2,1,17,1,1,1,"[1, 0] ",6,0
188,pilot ,20,2,2,1,19,1,1,1,"[-1, 0] ",6,0
189,pilot ,10,2,2,1,9,1,1,1,"[1, 0] ",9,2
190,pilot ,10,2,2,1,8,1,1,1,"[1, 0] ",3,0
191,pilot ,20,2,2,1,18,1,1,1,"[1, 0] ",3,0
192,pilot ,10,1,1,1,13,2,2,1,"[-1, 0] ",3,0
193,pilot ,20,2,2,1,19,1,1,1,"[1, 0] ",3,0
194,pilot ,20,2,2,1,17,1,1,1,"[1, 0] ",9,0
195,pilot ,20,2,2,1,17,1,1,1,"[-1, 0] ",3,2
196,pilot ,20,1,2,0,20,2,1,0,"[1, 0] ",6,0
197,pilot ,10,2,2,1,9,1,1,1,"[-1, 0] ",6,0
198,pilot ,20,1,1,1,21,2,2,1,"[1, 0] ",3,0
199,pilot ,10,2,2,1,7,1,1,1,"[1, 0] ",9,0
200,pilot ,20,1,2,0,20,2,1,0,"[1, 0] ",3,0
201,pilot ,10,1,2,0,13,2,1,0,"[1, 0] ",9,0
202,pilot ,20,1,2,0,20,2,1,0,"[-1, 0] ",3,0
203,pilot ,20,2,2,1,18,1,1,1,"[1, 0] ",6,0
204,pilot ,20,1,2,0,21,2,1,0,"[1, 0] ",9,0
205,pilot ,20,1,2,0,21,2,1,0,"[-1, 0] ",9,0
206,pilot ,10,1,1,1,13,2,2,1,"[1, 0] ",3,0
207,pilot ,10,1,2,0,11,2,1,0,"[1, 0] ",6,0
208,pilot ,20,2,2,1,17,1,1,1,"[-1, 0] ",9,0
209,pilot ,10,1,2,0,10,2,1,0,"[1, 0] ",6,0
210,pilot ,20,1,2,0,20,2,1,0,"[-1, 0] ",9,0
