experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	ltrSpatialPos1	ltrEccentricity1	timingBlips
RSVP_central_cue_between_letter_presentation 	43 	16 	 T1 	 0.0 	18 	U 	X 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	44 	16 	 T1 	 0.0 	10 	U 	R 	0.0 	-10.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	45 	16 	 T1 	 0.0 	14 	I 	J 	0.0 	-1.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	46 	16 	 T1 	 0.0 	18 	N 	U 	0.0 	2.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	47 	16 	 T1 	 0.0 	22 	V 	B 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	48 	16 	 T1 	 0.0 	18 	X 	X 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	49 	16 	 T1 	 0.0 	22 	L 	P 	0.0 	-1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	50 	16 	 T1 	 0.0 	6 	Y 	I 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	51 	16 	 T1 	 0.0 	10 	Y 	R 	0.0 	-8.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	52 	16 	 T1 	 0.0 	14 	T 	R 	0.0 	2.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	53 	16 	 T1 	 0.0 	22 	Z 	Z 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	54 	16 	 T1 	 0.0 	14 	L 	Q 	0.0 	2.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	55 	16 	 T1 	 0.0 	18 	G 	S 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	56 	16 	 T1 	 0.0 	6 	M 	B 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	57 	16 	 T1 	 0.0 	10 	A 	A 	1.0 	0.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	58 	16 	 T1 	 0.0 	6 	I 	F 	0.0 	-1.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	59 	16 	 T1 	 0.0 	10 	J 	Z 	0.0 	9.0 	[1, 0] 	10.0 	1
RSVP_central_cue_between_letter_presentation 	60 	16 	 T1 	 0.0 	14 	J 	G 	0.0 	4.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	61 	16 	 T1 	 0.0 	22 	P 	G 	0.0 	1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	62 	16 	 T1 	 0.0 	18 	P 	G 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	63 	16 	 T1 	 0.0 	18 	D 	B 	0.0 	4.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	64 	16 	 T1 	 0.0 	10 	O 	A 	0.0 	8.0 	[-1, 0] 	10.0 	1
RSVP_central_cue_between_letter_presentation 	65 	16 	 T1 	 0.0 	22 	O 	B 	0.0 	-1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	66 	16 	 T1 	 0.0 	22 	V 	M 	0.0 	1.0 	[-1, 0] 	3.0 	1
RSVP_central_cue_between_letter_presentation 	67 	16 	 T1 	 0.0 	18 	J 	J 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	68 	16 	 T1 	 0.0 	14 	W 	W 	1.0 	0.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	69 	16 	 T1 	 0.0 	6 	N 	B 	0.0 	6.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	70 	16 	 T1 	 0.0 	14 	C 	R 	0.0 	2.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	71 	16 	 T1 	 0.0 	6 	W 	W 	1.0 	0.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	72 	16 	 T1 	 0.0 	14 	L 	E 	0.0 	2.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	73 	16 	 T1 	 0.0 	14 	Y 	Y 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	74 	16 	 T1 	 0.0 	18 	E 	W 	0.0 	-15.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	75 	16 	 T1 	 0.0 	22 	I 	A 	0.0 	2.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	76 	16 	 T1 	 0.0 	18 	Q 	A 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	77 	16 	 T1 	 0.0 	22 	H 	D 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	78 	16 	 T1 	 0.0 	10 	S 	V 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	79 	16 	 T1 	 0.0 	18 	B 	O 	0.0 	2.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	80 	16 	 T1 	 0.0 	14 	R 	S 	0.0 	2.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	81 	16 	 T1 	 0.0 	6 	J 	U 	0.0 	2.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	82 	16 	 T1 	 0.0 	14 	T 	S 	0.0 	1.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	83 	16 	 T1 	 0.0 	14 	Q 	U 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	84 	16 	 T1 	 0.0 	6 	Q 	A 	0.0 	1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	85 	16 	 T1 	 0.0 	18 	O 	E 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	86 	16 	 T1 	 0.0 	6 	Q 	S 	0.0 	1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	87 	16 	 T1 	 0.0 	14 	Y 	Y 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	88 	16 	 T1 	 0.0 	14 	X 	X 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	89 	16 	 T1 	 0.0 	22 	U 	V 	0.0 	-2.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	90 	16 	 T1 	 0.0 	10 	P 	R 	0.0 	10.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	91 	16 	 T1 	 0.0 	6 	R 	A 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	92 	16 	 T1 	 0.0 	18 	E 	M 	0.0 	1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	93 	16 	 T1 	 0.0 	14 	A 	Y 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	94 	16 	 T1 	 0.0 	10 	X 	W 	0.0 	2.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	95 	16 	 T1 	 0.0 	18 	K 	Y 	0.0 	-1.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	96 	16 	 T1 	 0.0 	22 	J 	W 	0.0 	-1.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	97 	16 	 T1 	 0.0 	18 	A 	A 	1.0 	0.0 	[-1, 0] 	10.0 	1
RSVP_central_cue_between_letter_presentation 	98 	16 	 T1 	 0.0 	14 	M 	Z 	0.0 	-2.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	99 	16 	 T1 	 0.0 	6 	X 	A 	0.0 	-3.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	100 	16 	 T1 	 0.0 	6 	G 	J 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	101 	16 	 T1 	 0.0 	22 	E 	E 	1.0 	0.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	102 	16 	 T1 	 0.0 	10 	J 	J 	1.0 	0.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	103 	16 	 T1 	 0.0 	10 	D 	R 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	104 	16 	 T1 	 0.0 	10 	Y 	T 	0.0 	2.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	105 	16 	 T1 	 0.0 	18 	Z 	Z 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	106 	16 	 T1 	 0.0 	14 	W 	W 	1.0 	0.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	107 	16 	 T1 	 0.0 	6 	C 	T 	0.0 	-1.0 	[1, 0] 	10.0 	1
RSVP_central_cue_between_letter_presentation 	108 	16 	 T1 	 0.0 	6 	P 	F 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	109 	16 	 T1 	 0.0 	18 	A 	A 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	110 	16 	 T1 	 0.0 	18 	W 	W 	1.0 	0.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	111 	16 	 T1 	 0.0 	10 	I 	J 	0.0 	-3.0 	[1, 0] 	10.0 	0
