X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,600,null,null,1006,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,odd,0
Chrome,825,null,null,1034,76,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,spikey,1
Chrome,1050,null,null,1031,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,odd,0
Chrome,525,null,null,1001,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,odd,0
Chrome,450,null,null,1018,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,red,0
Chrome,750,null,null,1026,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,spikey,0
Chrome,900,null,null,1042,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,spikey,0
Chrome,675,null,null,998,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,red,0
Chrome,975,null,null,956,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,red,0
Chrome,975,null,null,1013,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,odd,0
Chrome,900,null,null,964,76,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,spikey,1
Chrome,750,null,null,997,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,odd,0
Chrome,450,null,null,964,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,spikey,0
Chrome,600,null,null,1028,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,red,0
Chrome,675,null,null,979,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,red,0
Chrome,825,null,null,980,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,odd,0
Chrome,1050,null,null,975,76,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,spikey,1
Chrome,525,null,null,1022,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,red,0
Chrome,1050,null,null,975,76,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,odd,1
Chrome,750,null,null,955,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,red,0
Chrome,675,null,null,960,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,red,0
Chrome,600,null,null,995,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,red,0
Chrome,900,null,null,1047,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,spikey,0
Chrome,525,null,null,1028,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,spikey,0
Chrome,825,null,null,961,76,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,spikey,1
Chrome,975,null,null,1031,76,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,odd,1
Chrome,450,2019-07-12T17:15:48.565Z,none,1009,83,2019-07-12T16:58:01.028Z,A2RVEG53L48BAE,odd,0
