experimentPhase	trialnum	subject	task	answerPos0	cueSpatialPos1	cueEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_two_streams_bigger_cue_size_new 	0 	Adi 	 T1 	6 	[-1, 0] 	3.0 	H 	N 	M 	J 	I 	V 	Z 	L 	U 	W 	X 	O 	C 	S 	R 	D 	F 	G 	P 	E 	T 	Q 	Y 	A 	B 	K 	Q 	W 	O 	B 	Z 	  	G 	Y 	E 	D 	S 	P 	I 	V 	T 	A 	X 	R 	K 	N 	U 	M 	J 	F 	H 	L 	1
RSVP_two_streams_bigger_cue_size_new 	1 	Adi 	 T1 	14 	[1, 0] 	3.0 	H 	K 	A 	N 	X 	G 	V 	E 	J 	R 	U 	F 	C 	Q 	W 	Y 	O 	S 	P 	T 	I 	Z 	D 	M 	B 	L 	J 	Y 	P 	W 	C 	A 	R 	X 	Q 	E 	N 	H 	U 	  	Z 	V 	B 	T 	L 	I 	G 	O 	K 	M 	F 	S 	0
RSVP_two_streams_bigger_cue_size_new 	2 	Adi 	 T1 	10 	[1, 0] 	10.0 	A 	N 	S 	F 	G 	D 	O 	B 	R 	W 	P 	E 	L 	Y 	I 	J 	M 	U 	Z 	X 	H 	C 	Q 	V 	T 	K 	D 	Q 	A 	W 	N 	I 	O 	C 	E 	  	Y 	F 	V 	B 	S 	T 	L 	P 	Z 	U 	R 	J 	H 	K 	M 	X 	1
RSVP_two_streams_bigger_cue_size_new 	3 	Adi 	 T1 	6 	[1, 0] 	10.0 	T 	A 	P 	G 	Z 	E 	I 	K 	F 	N 	C 	Q 	M 	U 	X 	W 	V 	J 	Y 	H 	O 	D 	B 	R 	S 	L 	J 	R 	B 	K 	N 	  	Y 	F 	I 	D 	E 	X 	G 	P 	Q 	L 	W 	V 	A 	C 	U 	S 	O 	T 	M 	H 	0
RSVP_two_streams_bigger_cue_size_new 	4 	Adi 	 T1 	22 	[-1, 0] 	3.0 	E 	Z 	R 	C 	J 	Q 	X 	O 	M 	K 	B 	W 	V 	F 	T 	U 	A 	D 	Y 	S 	P 	G 	L 	N 	I 	H 	Z 	M 	T 	J 	E 	K 	N 	F 	U 	G 	B 	O 	W 	Y 	I 	P 	L 	H 	A 	V 	D 	  	C 	R 	Q 	S 	0
RSVP_two_streams_bigger_cue_size_new 	5 	Adi 	 T1 	22 	[-1, 0] 	3.0 	K 	Q 	D 	R 	I 	B 	X 	G 	J 	C 	Y 	U 	Z 	N 	M 	W 	S 	O 	V 	E 	F 	L 	A 	H 	P 	T 	G 	Q 	Z 	O 	A 	R 	F 	C 	P 	H 	X 	B 	Y 	K 	N 	D 	J 	S 	M 	U 	L 	  	V 	T 	I 	W 	0
RSVP_two_streams_bigger_cue_size_new 	6 	Adi 	 T1 	22 	[-1, 0] 	3.0 	J 	W 	K 	I 	S 	B 	G 	X 	F 	Y 	R 	V 	Z 	P 	C 	E 	H 	U 	N 	L 	A 	T 	O 	M 	Q 	D 	F 	E 	J 	K 	V 	X 	N 	Q 	M 	L 	R 	I 	G 	A 	H 	S 	U 	Y 	O 	C 	T 	  	Z 	B 	P 	W 	1
RSVP_two_streams_bigger_cue_size_new 	7 	Adi 	 T1 	14 	[1, 0] 	3.0 	Z 	C 	X 	M 	Q 	I 	V 	D 	G 	W 	J 	N 	R 	S 	U 	Y 	E 	P 	H 	T 	L 	O 	K 	B 	A 	F 	D 	M 	I 	G 	O 	Y 	R 	E 	J 	K 	P 	B 	W 	  	S 	C 	Q 	V 	A 	N 	Z 	U 	T 	X 	H 	F 	0
RSVP_two_streams_bigger_cue_size_new 	8 	Adi 	 T1 	22 	[1, 0] 	10.0 	Y 	K 	D 	A 	S 	Z 	E 	J 	X 	G 	L 	C 	M 	V 	W 	B 	T 	N 	U 	Q 	I 	O 	H 	R 	F 	P 	N 	Y 	J 	X 	G 	M 	Q 	E 	C 	B 	O 	T 	A 	R 	Z 	P 	H 	W 	F 	I 	D 	  	K 	S 	V 	U 	0
