experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	Adi 	 T1T2 	 0.0 	10 	S 	S 	1.0 	0.0 	20 	G 	Q 	0.0 	2.0 	0
main	1 	Adi 	 T1T2 	 0.0 	10 	L 	Z 	0.0 	-2.0 	12 	J 	M 	0.0 	-12.0 	0
main	2 	Adi 	 T1T2 	 0.0 	10 	T 	W 	0.0 	5.0 	11 	G 	C 	0.0 	5.0 	0
main	3 	Adi 	 T1T2 	 0.0 	10 	W 	W 	1.0 	0.0 	18 	Z 	V 	0.0 	1.0 	0
main	4 	Adi 	 T1T2 	 0.0 	10 	N 	A 	0.0 	1.0 	15 	H 	G 	0.0 	10.0 	0
main	5 	Adi 	 T1T2 	 0.0 	14 	C 	C 	1.0 	0.0 	24 	N 	W 	0.0 	-1.0 	0
main	6 	Adi 	 T1T2 	 0.0 	14 	G 	G 	1.0 	0.0 	16 	P 	P 	1.0 	0.0 	0
main	7 	Adi 	 T1T2 	 0.0 	14 	Y 	E 	0.0 	1.0 	15 	E 	C 	0.0 	10.0 	0
main	8 	Adi 	 T1T2 	 0.0 	14 	L 	U 	0.0 	1.0 	22 	O 	R 	0.0 	1.0 	0
main	9 	Adi 	 T1T2 	 0.0 	14 	H 	Z 	0.0 	1.0 	19 	D 	U 	0.0 	2.0 	0
main	10 	Adi 	 T1T2 	 0.0 	6 	Y 	Y 	1.0 	0.0 	16 	A 	A 	1.0 	0.0 	0
main	11 	Adi 	 T1T2 	 0.0 	6 	H 	R 	0.0 	1.0 	8 	S 	S 	1.0 	0.0 	0
main	12 	Adi 	 T1T2 	 0.0 	6 	C 	S 	0.0 	1.0 	7 	S 	Z 	0.0 	1.0 	0
main	13 	Adi 	 T1T2 	 0.0 	6 	F 	R 	0.0 	1.0 	14 	M 	W 	0.0 	-1.0 	0
main	14 	Adi 	 T1T2 	 0.0 	6 	R 	K 	0.0 	7.0 	11 	O 	Z 	0.0 	12.0 	0
main	15 	Adi 	 T1T2 	 0.0 	8 	W 	J 	0.0 	1.0 	18 	D 	M 	0.0 	1.0 	0
main	16 	Adi 	 T1T2 	 0.0 	8 	N 	Z 	0.0 	-1.0 	10 	J 	Z 	0.0 	-3.0 	0
main	17 	Adi 	 T1T2 	 0.0 	8 	U 	N 	0.0 	-8.0 	9 	Z 	Z 	1.0 	0.0 	0
main	18 	Adi 	 T1T2 	 0.0 	8 	K 	X 	0.0 	1.0 	16 	G 	G 	1.0 	0.0 	0
main	19 	Adi 	 T1T2 	 0.0 	8 	A 	A 	1.0 	0.0 	13 	L 	W 	0.0 	1.0 	0
