experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	Adi 	 T1T2 	 0.0 	6 	K 	K 	1.0 	0.0 	14 	F 	Q 	0.0 	1.0 	0
main	1 	Adi 	 T1T2 	 0.0 	6 	S 	A 	0.0 	-6.0 	8 	I 	S 	0.0 	-2.0 	0
main	2 	Adi 	 T1T2 	 0.0 	6 	M 	M 	1.0 	0.0 	16 	X 	A 	0.0 	1.0 	0
main	3 	Adi 	 T1T2 	 0.0 	6 	T 	M 	0.0 	-5.0 	11 	P 	G 	0.0 	2.0 	0
main	4 	Adi 	 T1T2 	 0.0 	6 	W 	W 	1.0 	0.0 	7 	L 	K 	0.0 	1.0 	0
main	5 	Adi 	 T1T2 	 0.0 	8 	B 	B 	1.0 	0.0 	16 	L 	M 	0.0 	-1.0 	0
main	6 	Adi 	 T1T2 	 0.0 	8 	V 	U 	0.0 	-1.0 	10 	N 	J 	0.0 	-5.0 	0
main	7 	Adi 	 T1T2 	 0.0 	8 	P 	S 	0.0 	-1.0 	18 	W 	W 	1.0 	0.0 	0
main	8 	Adi 	 T1T2 	 0.0 	8 	O 	A 	0.0 	2.0 	13 	J 	D 	0.0 	1.0 	0
main	9 	Adi 	 T1T2 	 0.0 	8 	J 	V 	0.0 	1.0 	9 	V 	J 	0.0 	-1.0 	0
main	10 	Adi 	 T1T2 	 0.0 	14 	R 	W 	0.0 	-1.0 	22 	Y 	M 	0.0 	1.0 	0
main	11 	Adi 	 T1T2 	 0.0 	14 	C 	G 	0.0 	-1.0 	16 	N 	M 	0.0 	-5.0 	0
main	12 	Adi 	 T1T2 	 0.0 	14 	A 	W 	0.0 	-1.0 	24 	N 	S 	0.0 	1.0 	0
main	13 	Adi 	 T1T2 	 0.0 	14 	S 	S 	1.0 	0.0 	19 	E 	G 	0.0 	2.0 	0
main	14 	Adi 	 T1T2 	 0.0 	14 	Z 	K 	0.0 	-1.0 	15 	C 	C 	1.0 	0.0 	0
main	15 	Adi 	 T1T2 	 0.0 	10 	A 	A 	1.0 	0.0 	18 	D 	D 	1.0 	0.0 	0
main	16 	Adi 	 T1T2 	 0.0 	10 	H 	E 	0.0 	-3.0 	12 	N 	C 	0.0 	-1.0 	0
main	17 	Adi 	 T1T2 	 0.0 	10 	J 	A 	0.0 	1.0 	20 	S 	Y 	0.0 	1.0 	0
main	18 	Adi 	 T1T2 	 0.0 	10 	V 	D 	0.0 	4.0 	15 	H 	K 	0.0 	-10.0 	0
main	19 	Adi 	 T1T2 	 0.0 	10 	Z 	Z 	1.0 	0.0 	11 	K 	S 	0.0 	-10.0 	0
main	20 	Adi 	 T1T2 	 0.0 	6 	U 	T 	0.0 	-5.0 	14 	R 	R 	1.0 	0.0 	0
main	21 	Adi 	 T1T2 	 0.0 	6 	K 	E 	0.0 	-5.0 	8 	B 	B 	1.0 	0.0 	0
main	22 	Adi 	 T1T2 	 0.0 	6 	B 	B 	1.0 	0.0 	16 	S 	G 	0.0 	1.0 	0
main	23 	Adi 	 T1T2 	 0.0 	6 	U 	U 	1.0 	0.0 	11 	Q 	B 	0.0 	2.0 	0
main	24 	Adi 	 T1T2 	 0.0 	6 	E 	E 	1.0 	0.0 	7 	L 	M 	0.0 	-2.0 	0
main	25 	Adi 	 T1T2 	 0.0 	8 	X 	M 	0.0 	-2.0 	16 	F 	B 	0.0 	-14.0 	0
main	26 	Adi 	 T1T2 	 0.0 	8 	L 	W 	0.0 	-1.0 	10 	S 	R 	0.0 	1.0 	0
main	27 	Adi 	 T1T2 	 0.0 	8 	D 	A 	0.0 	2.0 	18 	K 	F 	0.0 	-1.0 	0
main	28 	Adi 	 T1T2 	 0.0 	8 	D 	E 	0.0 	1.0 	13 	Z 	Y 	0.0 	1.0 	0
main	29 	Adi 	 T1T2 	 0.0 	8 	J 	F 	0.0 	1.0 	9 	F 	B 	0.0 	1.0 	0
main	30 	Adi 	 T1T2 	 0.0 	14 	E 	J 	0.0 	1.0 	22 	T 	M 	0.0 	-1.0 	0
main	31 	Adi 	 T1T2 	 0.0 	14 	P 	W 	0.0 	1.0 	16 	R 	P 	0.0 	-2.0 	0
main	32 	Adi 	 T1T2 	 0.0 	14 	Z 	S 	0.0 	-1.0 	24 	K 	K 	1.0 	0.0 	0
main	33 	Adi 	 T1T2 	 0.0 	14 	L 	F 	0.0 	1.0 	19 	A 	A 	1.0 	0.0 	0
main	34 	Adi 	 T1T2 	 0.0 	14 	H 	T 	0.0 	2.0 	15 	Y 	Y 	1.0 	0.0 	0
main	35 	Adi 	 T1T2 	 0.0 	10 	O 	Q 	0.0 	1.0 	18 	U 	D 	0.0 	1.0 	0
main	36 	Adi 	 T1T2 	 0.0 	10 	O 	W 	0.0 	1.0 	12 	E 	C 	0.0 	-3.0 	0
main	37 	Adi 	 T1T2 	 0.0 	10 	I 	Q 	0.0 	2.0 	20 	S 	A 	0.0 	-1.0 	0
main	38 	Adi 	 T1T2 	 0.0 	10 	P 	Z 	0.0 	2.0 	15 	Y 	K 	0.0 	1.0 	0
main	39 	Adi 	 T1T2 	 0.0 	10 	B 	S 	0.0 	1.0 	11 	S 	B 	0.0 	-1.0 	0
