Duration,Response,Stimulus condition,OddBall Onset
1.45,0.9199833460152149,2.0,0.6
1.375,1.1360301359090954,0.0,0.0
1.45,1.407943744910881,0.0,0.0
0.825,0.584050381090492,0.0,0.0
1.125,0.9600304129999131,2.0,0.4
1.375,1.3360269349068403,0.0,0.0
1.375,1.2159602111205459,2.0,0.0
1.525,1.3919892942067236,2.0,0.0
1.05,0.712076507974416,1.0,0.4
1.125,1.0560220661573112,0.0,0.0
1.05,0.695994270965457,0.0,0.0
0.9,0.6079354309476912,0.0,0.0
1.525,1.3199960759375244,0.0,0.0
0.975,0.7840204411186278,0.0,0.0
0.975,0.9039811999537051,0.0,0.0
1.05,0.8160262180026621,2.0,0.4
1.125,1.4160157849546522,2.0,
1.525,1.1360075830016285,0.0,0.0
1.125,1.0160054920706898,0.0,0.0
0.825,1.0320054099429399,2.0,
1.125,1.159979599993676,2.0,
1.05,0.8080332370009273,2.0,0.0
0.975,0.896068847971037,0.0,0.0
0.975,0.5599569820333272,2.0,0.0
0.825,0.37599887419492006,0.0,0.0
0.75,0.7919953898526728,1.0,
0.825,0.4400035860016942,0.0,0.0
0.975,0.5920101329684258,1.0,0.6
1.525,0.6960039460100234,1.0,0.6
1.25,1.088077693944797,2.0,0.6
1.125,1.040030478965491,0.0,0.0
0.825,0.45604939898476005,2.0,0.4
1.25,0.9039728699717671,1.0,0.0
0.75,0.8160024050157517,0.0,
0.75,0.7360081390943378,0.0,0.0
1.45,1.1839850759133697,0.0,0.0
0.825,0.9120106669142842,1.0,
0.9,0.503903343109414,0.0,0.0
1.25,0.5359951488208026,0.0,0.0
0.75,0.5520301470533013,2.0,0.6
0.825,0.6640615731012076,2.0,0.6
0.9,0.7919813301414251,0.0,0.0
1.25,0.9599937649909407,2.0,0.4
1.25,0.7760458919219673,0.0,0.0
0.975,0.9119359510950744,0.0,0.0
1.45,1.2479988809209317,2.0,0.4
0.75,0.7760560759343207,0.0,
1.525,1.3919782028533518,0.0,0.0
1.45,0.9040453780908138,0.0,0.0
1.375,1.0239888790529221,0.0,0.0
1.05,0.7999515410047024,2.0,0.6
1.05,0.9679473638534546,0.0,0.0
1.375,1.1680018168408424,2.0,0.6
1.525,1.2800042789895087,2.0,0.4
0.9,0.7119515589438379,1.0,0.0
1.25,0.7919722360093147,0.0,0.0
0.75,0.815978990867734,0.0,
1.125,1.1520148781128228,0.0,
0.975,0.664041412062943,2.0,0.6
0.825,0.7039878279902041,1.0,0.4
1.05,1.0400636040139943,0.0,0.0
1.375,1.015932290116325,0.0,0.0
0.9,0.93596469797194,1.0,
0.9,0.7439767250325531,0.0,0.0
1.125,0.8800671990029514,1.0,0.4
0.9,0.7680210170801729,1.0,0.4
0.9,0.8399551690090448,0.0,0.0
1.25,0.6400047028437257,0.0,0.0
0.9,0.7040431450586766,2.0,0.4
0.75,0.7119718089234084,2.0,0.4
0.75,0.9679996711201966,2.0,
1.375,0.9120343539398164,1.0,0.4
1.375,0.9199878091458231,0.0,0.0
1.05,0.9040498100221157,0.0,0.0
0.75,0.8079881258308887,0.0,
1.05,0.7759767379611731,0.0,0.0
1.45,1.1679984179791063,1.0,0.4
1.125,1.2480310099199414,0.0,
1.05,1.224037999054417,1.0,
0.825,0.7519605031702667,0.0,0.0
1.525,1.1519751860760152,1.0,0.4
1.45,1.1439666219521314,1.0,0.6
0.75,0.9360473258420825,1.0,
0.975,0.9039329360239208,1.0,0.0
1.125,0.7759434340987355,0.0,0.0
0.975,0.8960530441254377,0.0,0.0
1.45,1.2799806408584118,2.0,0.0
1.25,0.8000530379358679,0.0,0.0
0.825,0.8239971671719104,1.0,0.0
1.45,1.0000039951410145,0.0,0.0
1.525,1.1760968049056828,0.0,0.0
0.975,0.9280275511555374,2.0,0.4
0.9,0.8560529781971127,0.0,0.0
1.125,0.9279177198186517,1.0,0.6
0.9,0.7840195258613676,2.0,0.0
1.375,1.1680101279634982,1.0,0.6
0.975,0.839988644933328,1.0,0.4
1.45,1.0240395278669894,0.0,0.0
0.9,0.8880064270924777,2.0,0.6
1.525,1.2960380371659994,0.0,0.0
1.25,0.952017238130793,1.0,0.6
0.825,0.8799920200835913,0.0,
0.75,0.6879725269973278,1.0,0.4
1.45,1.560026359045878,0.0,
0.75,0.7440063669346273,0.0,0.0
1.05,0.9359776580240577,0.0,0.0
1.375,1.0480447318404913,2.0,0.4
0.975,0.9280189059209079,0.0,0.0
1.25,1.3680749230552465,0.0,
1.375,1.176059901015833,0.0,0.0
1.125,1.016019205097109,1.0,0.0
0.825,0.7520193909294903,0.0,0.0
1.525,0.9840038290712982,0.0,0.0
1.25,1.1840112181380391,1.0,0.4
1.25,0.8560828459449112,2.0,0.0
1.05,0.8000150520820171,1.0,0.0
1.525,1.1679925140924752,2.0,0.6
1.525,1.5840279199182987,1.0,
1.45,1.5520647820085287,1.0,
1.375,0.9280188528355211,1.0,0.0
