Duration,Stimulus_condition,Response
1.525,1,1.077798574
1.05,0,0.877130022
0.975,2,0.899762927
1.125,2,1.051017892
1.125,1,1.11088738
1.375,0,1.075454622
1.45,0,1.280977236
1.125,2,1.208769454
0.975,0,0.924197093
0.75,1,0.75145249
0.9,2,0.731204884
0.75,1,0.579465128
0.9,0,0.799183908
0.975,0,0.766873059
1.05,1,0.879440388
0.9,0,0.684279405
1.05,2,0.907041355
1.45,1,1.056416082
0.75,0,0.630375837
1.125,0,0.814502773
1.05,0,0.836863758
1.525,2,1.332119384
1.375,2,1.305942293
1.45,0,1.310175552
1.525,0,1.307931635
1.05,1,1.107200474
1.25,0,0.936481905
1.05,0,0.778886764
1.05,1,0.959599074
1.25,1,1.065346668
0.825,0,0.625865047
1.45,0,1.252679052
1.45,0,0.979551641
0.975,2,0.907505744
0.975,0,0.695148521
0.9,1,0.898897897
1.125,1,0.893186582
1.05,0,0.858043309
0.75,0,0.658092256
1.45,2,0.979839206
0.975,1,0.999686912
0.9,2,0.749053667
1.525,2,1.164980617
1.25,2,1.247862487
1.45,1,1.176500991
1.375,0,1.096917053
1.45,0,1.026605103
1.525,0,1.1096057
0.9,0,0.783342826
0.825,0,0.610988368
1.25,2,0.855106863
1.125,0,1.020442529
0.9,2,0.739621337
0.975,1,1.284711885
0.9,0,0.910304281
1.25,1,0.822280931
0.9,1,0.841195112
1.45,2,1.025242153
0.9,0,0.873193401
0.975,2,0.879749012
0.975,0,0.750037683
1.125,0,0.798897127
1.125,0,0.902036167
1.525,2,1.372317883
0.825,0,0.736831008
1.375,1,0.960217105
0.9,1,0.911419316
0.825,2,0.776795849
1.05,2,0.959393921
0.975,0,0.88605392
0.75,0,0.718007606
0.75,2,0.756384613
0.75,0,0.722622167
1.125,0,0.923828762
1.375,0,1.220471701
0.825,0,0.831197641
1.525,1,1.341654956
1.45,0,1.061220191
1.25,2,1.180460027
1.45,1,1.237477862
0.825,1,0.951381632
0.825,1,0.753996901
0.75,0,0.821603793
0.75,2,0.587867936
1.375,2,1.301115428
1.05,2,1.0503127
1.375,0,1.12867621
1.525,0,0.997708411
1.25,1,1.20290535
0.825,1,0.66579536
0.75,2,0.494708588
1.25,0,0.879303985
0.825,2,0.826813065
1.525,0,1.085685801
1.25,0,1.136261637
0.975,1,0.880518979
1.375,1,1.042740368
1.525,1,1.382970206
1.125,1,0.811415628
0.75,0,0.801366371
1.25,0,0.964832851
0.975,0,0.951560772
1.525,0,1.17526286
0.9,0,0.94971108
0.825,0,0.86960647
1.375,0,0.996092113
1.25,0,1.007602669
0.825,2,0.580373604
1.25,0,0.699272289
1.05,0,0.885063841
1.375,2,1.056516035
1.375,1,1.126820401
1.375,0,1.188191018
1.525,0,1.110300313
0.75,1,0.616397608
1.05,0,0.943814781
0.825,0,0.838162994
1.125,2,0.96886042
1.45,2,0.994172152
1.125,0,0.952134059
