Duration,Stimulus_condition,Response
1.45,2,1.066730421
1.375,2,1.090401901
1.25,1,1.232962402
0.75,2,0.73740989
1.525,2,1.172353956
1.125,2,0.997985873
0.9,1,0.895500107
1.125,0,0.921376625
0.9,0,1.004323471
0.75,1,0.589298166
1.25,1,0.985342844
0.825,0,0.81994598
0.975,1,0.954603472
0.75,0,0.647964792
0.825,1,0.704117946
1.525,0,1.318386076
0.75,0,0.73331639
0.975,0,0.929787953
1.375,2,1.153257755
1.45,1,1.196126136
1.525,1,1.408059831
1.05,2,0.983216338
1.05,0,0.995829686
1.05,0,1.008711027
0.75,2,0.669917117
1.25,0,1.004048099
0.9,1,0.884985575
0.975,0,0.949241685
0.825,1,0.938908211
0.975,2,0.883488163
1.125,2,1.01460417
1.25,1,1.101513413
0.75,2,0.737781524
1.125,0,0.978878566
0.9,0,0.952951293
1.125,0,0.811433958
0.9,0,0.959115184
1.125,0,0.904506495
0.975,2,1.025506329
1.525,1,1.230297789
1.45,0,1.413813887
1.125,0,0.853222349
0.975,1,0.923883576
1.25,0,0.980336555
0.975,0,0.998331151
0.75,0,0.615630227
0.75,0,0.734377609
1.45,0,1.178308874
0.975,0,0.9569761
1.375,0,1.094104437
0.975,0,0.784402199
1.525,2,1.222263427
1.125,1,1.104921936
0.825,0,0.731859866
0.825,2,0.842317162
1.125,2,0.959259499
1.375,1,1.199913301
0.825,0,0.679925651
0.9,0,0.967944907
0.75,0,0.774045877
0.975,1,0.83166498
0.75,0,0.574270598
1.05,1,0.824080883
1.525,0,1.328291452
1.45,0,1.49999715
1.45,1,1.146698562
1.45,0,1.391347486
0.9,0,0.719512383
1.05,0,0.871275883
1.45,1,0.950394276
1.45,2,1.411468438
0.825,0,0.642771111
1.375,0,1.237119781
1.525,2,1.367893837
0.975,0,0.875287812
1.25,0,1.174767069
1.25,0,1.143421511
1.05,0,0.968425339
0.825,2,0.702808346
1.25,2,1.309911662
1.45,2,1.171014381
1.45,0,1.180804608
1.45,0,1.425011337
1.25,0,1.10388939
1.375,1,1.094813701
1.525,0,1.177025118
1.05,0,0.796639124
1.375,2,1.450930368
0.9,2,0.730383907
1.375,1,0.829884862
1.125,0,1.023419322
1.125,1,1.071044658
1.05,1,1.08157758
0.9,2,0.685792068
1.375,0,1.02965197
0.825,2,0.931113992
0.825,0,0.684449161
1.125,1,1.04377781
1.375,0,1.308502578
1.25,2,1.099154604
1.05,1,1.085019597
1.05,2,0.852777635
0.825,0,0.581171792
1.25,0,0.89553379
0.75,1,0.601298562
0.75,1,0.782059153
0.975,2,0.956436674
1.05,0,1.003575434
1.525,1,1.144656419
1.375,0,1.401136998
1.375,0,1.216985477
1.525,0,1.220989581
1.525,0,1.279096091
0.9,0,0.716114807
1.525,0,1.190634397
0.9,2,0.992132673
1.25,2,1.113071067
1.05,2,1.394646232
0.825,1,1.14020282
0.9,1,0.903773923
