Duration,Stimulus_condition,Response
1.25,2,0.556424123
1.05,0,0.754454681
0.9,1,0.814616656
1.125,0,0.89228831
1.375,0,1.176533121
0.975,2,0.900961101
0.825,0,0.606888811
0.75,0,0.684960283
1.25,0,0.945584147
1.525,0,1.176418374
1.125,1,1.059648639
0.975,0,0.962715946
1.375,1,0.956880313
1.525,2,1.285234474
1.25,1,1.114368757
0.9,0,0.899439893
0.975,1,0.83176953
0.975,1,1.030481226
1.375,0,1.230376075
0.9,0,0.770881194
1.525,1,1.03554358
1.25,2,0.985990744
0.975,1,0.973421725
0.9,0,0.927319253
1.125,0,0.877451065
0.75,2,0.410360786
1.45,1,1.020191799
1.125,2,1.081864358
0.75,0,0.503633867
0.975,0,0.922643187
1.125,1,1.015755548
1.45,2,1.089023325
0.825,0,0.868855096
1.45,0,0.933468256
1.525,1,1.392064789
1.05,0,1.073412361
1.375,0,0.998058676
1.525,0,1.242847674
0.825,2,0.816962076
0.9,1,0.968321496
0.975,2,0.8868419
1.05,1,0.951808037
1.05,2,0.956074312
0.9,0,0.894625182
0.75,1,0.85367952
1.375,1,0.994647292
1.45,1,1.237199432
1.525,0,1.217719378
0.75,0,0.714797565
0.9,2,0.885051415
0.75,0,0.774980614
0.825,2,0.738652824
1.125,0,0.950515823
1.525,0,1.139852567
0.825,0,0.75654
1.525,0,0.926447919
1.45,0,1.042333302
1.125,0,1.070414159
1.25,1,1.106417901
1.125,0,1.089141063
1.45,1,1.102829281
0.975,0,1.064950075
1.125,0,0.815372566
1.45,0,1.230335896
1.45,2,1.136206912
1.45,2,1.155399574
0.9,2,0.948506048
1.375,2,1.148111197
1.05,2,1.068806894
1.25,0,1.018008973
1.05,0,1.101583233
0.825,1,0.790232211
0.825,0,0.678354406
0.975,0,0.730942317
0.75,0,0.694558348
0.9,1,0.822800528
1.05,1,0.791890371
1.45,0,1.132097219
0.75,1,0.660602049
1.375,0,1.312427564
1.45,0,1.382347946
1.25,0,1.314485207
0.75,2,0.735304304
1.525,1,1.458858214
1.05,0,0.878437505
0.9,0,0.764123573
0.975,0,0.791839896
1.05,0,0.848745698
1.45,0,0.905321608
0.75,1,0.898368513
1.375,2,0.909317773
0.75,0,0.720449052
1.25,0,1.074949138
0.825,1,0.936310832
1.05,2,0.856242276
1.125,2,0.993661354
1.125,1,1.037154008
1.05,0,1.012952953
0.825,0,0.907992927
0.75,2,0.761928975
0.9,2,0.61111293
0.825,2,0.783208287
0.825,0,0.744259291
1.25,2,0.934900107
1.525,2,1.131099717
1.25,0,1.203218844
1.05,1,0.984309069
0.975,0,0.939270525
1.25,1,1.062679261
1.375,0,1.086853856
1.375,0,1.090638349
0.825,1,0.940486673
0.975,2,0.897768471
1.525,0,1.096739988
1.375,2,1.040090485
1.125,2,1.036030755
1.375,1,1.057196163
1.25,0,1.198918246
1.525,2,1.052283678
0.9,0,1.006450828
