Duration,Stimulus_condition,Response
1.45,1,0.962856383
0.9,2,0.870996692
0.975,2,0.893121472
0.825,0,0.871877186
0.9,0,0.59608754
1.375,2,1.111923146
1.375,1,0.988966434
1.525,1,1.522727346
1.525,2,1.009431804
0.9,1,0.798567104
0.75,0,0.558760494
1.05,1,0.805271697
0.75,1,0.425628356
1.375,2,0.804781235
1.125,2,0.848807061
0.825,2,0.664768228
1.125,0,0.860364667
1.525,1,1.069064059
0.75,1,0.745335637
1.45,0,1.403876028
1.05,0,0.923400077
1.45,0,1.139308996
0.9,0,0.918997129
0.975,0,0.851795944
1.25,0,1.053486839
1.05,2,0.949053331
1.525,0,1.208246499
1.25,0,1.145586945
1.25,0,1.293381636
1.125,2,0.949731602
1.125,0,1.053148015
1.125,0,0.96095831
1.45,1,1.190945254
1.05,1,1.038129291
0.9,0,0.860969587
0.75,1,0.731509193
1.375,0,1.112090029
1.45,1,1.204036442
0.975,0,0.862030811
1.45,2,1.310855516
1.05,0,0.970260904
1.25,2,1.104552148
1.25,0,1.155370586
1.375,0,1.271845695
0.975,0,1.006417515
0.9,2,0.971943389
0.825,0,0.699842474
0.975,0,0.788439447
1.525,2,1.029606451
0.975,1,0.871870718
1.525,1,1.167952755
1.45,0,1.245574597
1.25,2,1.164142768
0.825,0,0.788730946
0.975,0,0.903870297
1.05,2,0.888184398
1.125,1,0.945348627
1.45,2,1.15280802
1.375,0,1.255965435
1.525,0,1.331204361
0.75,2,0.681381469
1.125,1,1.110676197
1.25,2,1.013382703
1.375,0,1.22139237
1.45,0,1.196036453
1.25,1,1.178159716
1.05,1,0.920434441
1.45,0,1.192357387
1.25,1,1.118954641
0.75,0,0.819353407
0.975,2,1.023705068
1.45,2,1.253309115
1.05,0,1.126428271
0.9,0,0.980812346
0.825,0,0.73517451
0.9,0,0.649354827
1.05,2,0.922240062
1.525,0,1.204993654
0.975,0,1.077881259
1.125,2,0.879505339
0.9,1,0.760613096
1.05,0,0.769031741
0.9,1,0.843131509
1.525,0,1.220312411
1.125,0,0.987480454
1.375,2,1.215836587
1.05,0,1.017490056
1.375,1,0.903884624
0.9,0,1.007572557
0.975,1,0.650739767
1.375,0,0.894975328
0.825,1,0.579451578
1.45,0,0.93385259
0.975,2,0.953289363
0.825,1,0.660658949
1.25,0,0.952697407
0.75,0,0.722741551
0.9,2,0.770152595
1.525,2,0.990657639
1.25,0,1.131721193
1.125,1,0.886475618
0.825,1,0.9851898
1.125,0,0.84508298
0.75,0,0.207571982
1.525,0,1.063955494
0.75,2,0.615364126
0.825,0,0.690873073
1.375,0,0.985686824
1.25,1,0.901131934
0.825,2,0.569714013
1.375,1,0.949344252
0.975,1,0.881147123
0.825,0,0.703531245
0.75,0,0.69172707
1.125,0,0.851278471
0.825,2,0.85379264
1.05,0,0.927549579
0.75,0,0.644494152
0.75,2,0.652853338
1.525,0,1.00109838
