experimentPhase	trialnum	subject	task	answerPos0	cueSpatialPos1	cueEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_two_streams_bigger_cue_size 	0 	Adi 	 T1 	22 	[1, 0] 	3.0 	T 	X 	G 	H 	A 	B 	Q 	V 	D 	R 	M 	N 	F 	Y 	O 	W 	U 	P 	S 	I 	Z 	C 	K 	J 	L 	E 	S 	F 	N 	X 	T 	M 	K 	V 	P 	G 	I 	J 	H 	Q 	R 	Y 	Z 	D 	O 	C 	B 	  	E 	A 	W 	U 	0
RSVP_two_streams_bigger_cue_size 	1 	Adi 	 T1 	22 	[1, 0] 	10.0 	T 	Z 	K 	L 	I 	G 	A 	N 	E 	M 	C 	V 	Q 	H 	P 	W 	X 	Y 	F 	O 	R 	S 	J 	D 	U 	B 	I 	T 	X 	N 	J 	B 	A 	Q 	E 	O 	Z 	S 	D 	L 	R 	P 	Y 	V 	U 	W 	M 	  	H 	G 	C 	F 	0
RSVP_two_streams_bigger_cue_size 	2 	Adi 	 T1 	18 	[1, 0] 	3.0 	G 	V 	R 	T 	S 	Z 	X 	B 	F 	H 	U 	C 	N 	Y 	Q 	P 	E 	L 	D 	W 	K 	A 	O 	I 	J 	M 	P 	L 	M 	B 	C 	A 	G 	D 	Q 	Y 	V 	R 	N 	E 	W 	X 	K 	  	J 	S 	O 	H 	T 	U 	F 	Z 	0
RSVP_two_streams_bigger_cue_size 	3 	Adi 	 T1 	10 	[1, 0] 	10.0 	X 	R 	O 	L 	W 	E 	T 	F 	C 	G 	P 	Z 	V 	N 	Y 	A 	D 	J 	U 	Q 	S 	K 	B 	M 	H 	I 	E 	M 	D 	U 	O 	Z 	B 	R 	P 	  	W 	H 	I 	V 	L 	K 	X 	J 	F 	T 	N 	Y 	G 	C 	Q 	S 	0
RSVP_two_streams_bigger_cue_size 	4 	Adi 	 T1 	18 	[-1, 0] 	10.0 	X 	V 	E 	Y 	O 	A 	B 	I 	Q 	W 	S 	T 	J 	L 	U 	P 	M 	G 	D 	C 	N 	F 	K 	Z 	R 	H 	B 	F 	D 	T 	Y 	R 	C 	U 	Z 	N 	V 	L 	S 	X 	O 	H 	P 	  	J 	A 	K 	W 	E 	I 	M 	G 	0
RSVP_two_streams_bigger_cue_size 	5 	Adi 	 T1 	18 	[-1, 0] 	3.0 	J 	C 	H 	A 	W 	F 	N 	M 	R 	Z 	X 	P 	Q 	G 	B 	K 	S 	U 	T 	I 	E 	Y 	L 	D 	V 	O 	Z 	I 	S 	O 	U 	Q 	W 	E 	M 	K 	J 	R 	N 	X 	Y 	L 	F 	  	A 	C 	D 	T 	G 	V 	B 	P 	0
RSVP_two_streams_bigger_cue_size 	6 	Adi 	 T1 	10 	[1, 0] 	10.0 	C 	U 	I 	A 	Q 	Y 	E 	O 	P 	W 	J 	G 	V 	X 	T 	M 	K 	S 	B 	N 	R 	D 	L 	Z 	H 	F 	T 	F 	V 	P 	S 	C 	L 	Q 	Y 	  	G 	N 	E 	B 	M 	J 	Z 	W 	X 	R 	U 	D 	H 	O 	I 	K 	0
RSVP_two_streams_bigger_cue_size 	7 	Adi 	 T1 	22 	[-1, 0] 	3.0 	N 	B 	I 	J 	T 	R 	M 	A 	V 	E 	U 	Z 	K 	S 	D 	F 	O 	W 	H 	C 	Q 	P 	Y 	L 	G 	X 	F 	S 	E 	A 	Q 	H 	N 	T 	M 	X 	R 	V 	I 	U 	W 	K 	O 	G 	C 	Y 	L 	  	B 	D 	J 	P 	0
RSVP_two_streams_bigger_cue_size 	8 	Adi 	 T1 	6 	[-1, 0] 	3.0 	W 	P 	X 	B 	C 	K 	L 	O 	V 	Y 	Q 	D 	E 	A 	M 	Z 	G 	F 	R 	H 	T 	J 	S 	N 	I 	U 	U 	Q 	K 	H 	E 	  	G 	F 	D 	P 	L 	Z 	S 	M 	A 	O 	I 	Y 	X 	N 	B 	J 	R 	W 	T 	C 	0
RSVP_two_streams_bigger_cue_size 	9 	Adi 	 T1 	10 	[-1, 0] 	3.0 	L 	Z 	W 	O 	X 	D 	K 	M 	U 	C 	P 	V 	Q 	S 	I 	F 	N 	B 	G 	E 	A 	R 	T 	Y 	J 	H 	W 	Y 	J 	D 	X 	Q 	V 	G 	E 	  	Z 	F 	S 	N 	L 	B 	U 	O 	T 	C 	R 	I 	H 	M 	A 	P 	0
