Duration,Response,Stimulus condition
1.25,0.9281264530000044,2
1.125,1.1440182910009753,0
1.45,0.6000139959942317,0
0.9,0.3442001440052991,2
1.525,0.9601231810011086,2
1.125,0.8241288690041984,2
0.975,0.5361253049995867,2
0.9,0.6159985150006833,1
1.05,0.8880002649966627,1
1.375,1.0320003099986934,0
1.05,0.9361293810070492,2
1.45,1.4480336260021431,0
0.9,0.9281283480013371,0
1.375,1.0240005329978885,0
0.9,0.920002425002167,1
0.75,0.48001291399850743,1
0.975,0.767988512001466,1
0.825,0.7680845810027677,2
1.375,1.0481294900018838,2
1.525,1.4720300030021463,1
1.25,1.1760216999973636,1
1.05,1.0801091600005748,0
1.525,1.4480339080037083,1
1.125,0.8959973489982076,0
1.525,1.144139007999911,2
1.05,1.0159991910040844,0
1.125,1.040026916001807,2
1.375,1.3119957750022877,1
1.375,1.2320486120006535,0
1.25,1.1280373800036614,0
1.375,1.456019261997426,0
0.975,0.7921291470047436,2
1.125,0.9919941110056243,1
0.975,0.9359977990025072,0
0.975,1.0000857630002429,1
0.75,0.6239999569952488,0
0.9,0.8400200520045473,0
0.9,0.7201308549992973,2
1.45,1.072013703000266,0
1.25,0.9760300979978638,1
1.375,1.2080412810028065,1
1.375,1.3519945590014686,0
1.05,0.7840293740009656,0
1.05,0.8160212309958297,0
1.45,1.152004349998606,1
1.525,1.3760276989996783,0
1.25,1.1679996610037051,0
0.975,0.8880280860030325,0
0.825,0.7999960079978337,1
1.45,1.0400344969966682,1
0.975,0.7599977170029888,0
0.825,0.7680002159977448,1
1.25,1.096000092002214,0
1.05,0.8881265180025366,2
0.75,0.6161267429997679,2
0.825,0.9841097980024642,0
1.125,0.8640290900002583,0
1.375,1.1359827649939689,1
1.25,1.1839996499984409,0
1.05,0.8319970329976059,0
1.525,1.4399958569993032,1
0.75,0.7841264449962182,0
0.75,0.5839992570035974,1
1.125,0.9521076180026284,2
0.975,0.7920315279989154,1
0.9,0.7360379770034342,0
1.125,1.0320002340013161,1
0.975,0.863997180997103,0
1.525,1.207997912002611,0
1.125,1.079993794002803,0
0.825,0.8080012179998448,0
0.75,0.7921056659979513,1
1.05,0.8881212060005055,2
1.05,0.9519848700001603,1
1.25,0.8079987719975179,0
0.825,0.64000013799523,0
0.975,1.0241068840041407,0
0.75,0.6639949780001189,0
1.525,0.9999964729940984,0
1.45,1.0960208600008627,0
1.375,1.2241284600022482,2
1.45,1.4961086489929585,2
1.125,0.8640286709996872,1
1.25,1.0801295489945915,2
0.825,0.9120814940033597,0
1.125,0.8959951550059486,0
1.525,1.1759990930004278,0
0.825,0.7201114320050692,2
0.75,0.664028088998748,0
1.45,1.2560012649992132,0
0.9,0.976127172994893,0
1.125,0.8480024009986664,0
0.9,0.7201216409957851,2
0.975,0.7359976199950324,0
1.25,0.9520040459974553,1
0.975,0.7121437880050507,2
0.9,0.6079938039983972,0
0.825,0.720179691001249,2
0.825,0.7120058029977372,0
1.25,1.0239979990001302,0
0.75,0.6239963669941062,0
0.825,0.623992543994973,1
1.45,1.039998097003263,1
1.05,0.8159993269946426,1
1.45,1.2879974339957698,0
0.75,0.6239976649958408,0
1.45,1.2641320309994626,2
1.45,1.344126978998247,2
1.525,1.2479998339986196,0
1.375,1.2641310269973474,2
0.9,0.7439964360019076,1
0.825,0.7839844069967512,0
0.9,0.8080053230005433,0
0.75,0.6161271140008466,2
1.25,1.0961268660030328,2
1.375,1.0959974299985333,0
1.525,1.328121653998096,2
1.05,1.0159993039997062,0
1.525,1.2639979469968239,0
0.75,0.6000102980033262,2
