experimentPhase	trialnum	subject	task	answerPos0	ltrSpatialPos1	ltrEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_central_cue_between_letter_presentation 	0 	Adi 	 T1 	14 	[-1, 0] 	3.0 	A 	R 	J 	N 	T 	L 	W 	I 	K 	C 	Y 	Z 	X 	Q 	F 	G 	P 	U 	M 	O 	H 	E 	S 	V 	B 	D 	V 	J 	C 	A 	G 	O 	R 	H 	K 	S 	Y 	T 	D 	  	F 	U 	W 	X 	E 	Z 	Q 	M 	P 	B 	N 	L 	1
RSVP_central_cue_between_letter_presentation 	1 	Adi 	 T1 	22 	[-1, 0] 	3.0 	U 	H 	M 	Q 	A 	K 	G 	N 	V 	E 	I 	Z 	P 	J 	W 	Y 	C 	F 	D 	B 	X 	L 	S 	R 	T 	O 	O 	Z 	W 	K 	J 	U 	E 	V 	L 	H 	T 	S 	Q 	X 	N 	P 	C 	G 	R 	Y 	M 	  	A 	I 	F 	D 	0
RSVP_central_cue_between_letter_presentation 	2 	Adi 	 T1 	22 	[-1, 0] 	3.0 	Z 	I 	G 	S 	X 	D 	P 	R 	M 	T 	V 	H 	W 	O 	N 	J 	A 	U 	K 	F 	Y 	C 	E 	Q 	B 	L 	E 	O 	C 	V 	B 	A 	Y 	Z 	I 	J 	P 	D 	G 	K 	L 	F 	W 	U 	N 	Q 	R 	  	M 	S 	X 	T 	0
RSVP_central_cue_between_letter_presentation 	3 	Adi 	 T1 	22 	[-1, 0] 	10.0 	H 	X 	U 	Z 	R 	S 	M 	A 	N 	I 	G 	O 	P 	L 	E 	T 	J 	D 	W 	Y 	K 	F 	V 	Q 	B 	C 	A 	U 	G 	T 	C 	R 	Z 	J 	W 	L 	S 	Y 	K 	F 	E 	Q 	D 	B 	P 	N 	X 	  	O 	V 	M 	H 	2
RSVP_central_cue_between_letter_presentation 	4 	Adi 	 T1 	10 	[1, 0] 	3.0 	S 	Z 	P 	N 	V 	X 	G 	Y 	F 	E 	T 	M 	J 	O 	B 	Q 	U 	H 	A 	C 	W 	D 	K 	L 	I 	R 	I 	N 	C 	Z 	V 	O 	D 	U 	W 	  	H 	M 	L 	A 	Y 	B 	S 	G 	J 	K 	P 	Q 	R 	X 	F 	T 	0
RSVP_central_cue_between_letter_presentation 	5 	Adi 	 T1 	22 	[1, 0] 	10.0 	B 	M 	K 	C 	X 	S 	O 	Y 	F 	D 	W 	T 	V 	H 	J 	P 	L 	I 	A 	N 	E 	U 	Q 	G 	Z 	R 	O 	A 	S 	D 	G 	Z 	R 	I 	L 	K 	P 	F 	T 	M 	J 	N 	W 	B 	Q 	C 	E 	  	X 	Y 	H 	U 	0
RSVP_central_cue_between_letter_presentation 	6 	Adi 	 T1 	14 	[1, 0] 	3.0 	R 	A 	Z 	L 	V 	M 	I 	X 	J 	D 	O 	K 	Q 	E 	Y 	B 	N 	U 	H 	P 	S 	W 	C 	G 	T 	F 	R 	I 	Y 	N 	J 	Z 	C 	G 	X 	P 	L 	O 	E 	  	B 	T 	M 	H 	S 	A 	Q 	U 	K 	W 	F 	D 	0
RSVP_central_cue_between_letter_presentation 	7 	Adi 	 T1 	14 	[-1, 0] 	3.0 	S 	K 	M 	Z 	Y 	O 	R 	E 	Q 	V 	F 	B 	H 	T 	I 	L 	U 	X 	D 	W 	N 	C 	G 	J 	P 	A 	N 	V 	M 	Y 	G 	C 	K 	P 	H 	E 	S 	U 	A 	  	W 	X 	R 	D 	L 	I 	Z 	Q 	O 	J 	F 	B 	1
