subject,avg_lag_2deg,avg_lag_6deg,avg_lag_10deg
1,0.0285714,-0.0357143,-0.0285714
2,-0.135714,-0.0928571,-0.142857
3,-0.0571429,-0.278571,-0.242857
4,0.107143,-0.05,-0.114286
5,0.15,-0.271429,-0.214286
6,0.157143,-0.185714,0.4
7,0.1,0.05,-0.114286
8,0.0928571,-0.0285714,0.0285714
9,0.214286,0.0214286,0.15
10,0.992857,0.585714,0.807143
11,-0.107143,-0.328571,-0.457143
12,0.2,0.542857,0.621429
13,4.36035e-17,-0.0285714,-0.192857
14,0.0642857,-0.542857,-0.378571
