experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	
timingBlips
main	0 	7 	 T1T2 	 0.0 	14 	5 	5 	1.0 	-1013.0 	22 	8 	8 	1.0 	-1021.0 	[2, 0] 	0
main	1 	7 	 T1T2 	 0.0 	14 	6 	6 	1.0 	-1013.0 	16 	3 	3 	1.0 	-1015.0 	[2, 0] 	0
main	2 	7 	 T1T2 	 0.0 	14 	3 	3 	1.0 	-1013.0 	15 	7 	7 	1.0 	-1014.0 	[2, 0] 	0
main	3 	7 	 T1T2 	 0.0 	14 	5 	5 	1.0 	-1013.0 	24 	0 	2 	0.0 	-1023.0 	[2, 0] 	0
main	4 	7 	 T1T2 	 0.0 	14 	1 	1 	1.0 	-1013.0 	19 	4 	4 	1.0 	-1018.0 	[2, 0] 	0
main	5 	7 	 T1T2 	 0.0 	6 	2 	2 	1.0 	-1005.0 	14 	5 	5 	1.0 	-1013.0 	[2, 0] 	0
main	6 	7 	 T1T2 	 0.0 	6 	1 	1 	1.0 	-1005.0 	8 	2 	2 	1.0 	-1007.0 	[2, 0] 	0
main	7 	7 	 T1T2 	 0.0 	6 	5 	5 	1.0 	-1005.0 	7 	6 	6 	1.0 	-1006.0 	[2, 0] 	0
main	8 	7 	 T1T2 	 0.0 	6 	7 	7 	1.0 	-1005.0 	16 	4 	4 	1.0 	-1015.0 	[2, 0] 	0
main	9 	7 	 T1T2 	 0.0 	6 	8 	8 	1.0 	-1005.0 	11 	9 	9 	1.0 	-1010.0 	[2, 0] 	0
main	10 	7 	 T1T2 	 0.0 	8 	3 	3 	1.0 	-1007.0 	16 	4 	4 	1.0 	-1015.0 	[2, 0] 	0
main	11 	7 	 T1T2 	 0.0 	8 	8 	8 	1.0 	-1007.0 	10 	4 	4 	1.0 	-1009.0 	[2, 0] 	0
main	12 	7 	 T1T2 	 0.0 	8 	3 	3 	1.0 	-1007.0 	9 	5 	5 	1.0 	-1008.0 	[2, 0] 	0
main	13 	7 	 T1T2 	 0.0 	8 	0 	2 	0.0 	-1007.0 	18 	3 	3 	1.0 	-1017.0 	[2, 0] 	0
main	14 	7 	 T1T2 	 0.0 	8 	3 	3 	1.0 	-1007.0 	13 	4 	4 	1.0 	-1012.0 	[2, 0] 	0
main	15 	7 	 T1T2 	 0.0 	10 	3 	3 	1.0 	-1009.0 	18 	1 	1 	1.0 	-1017.0 	[2, 0] 	0
main	16 	7 	 T1T2 	 0.0 	10 	0 	1 	0.0 	-1009.0 	12 	9 	0 	0.0 	-1011.0 	[2, 0] 	0
main	17 	7 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	11 	6 	6 	1.0 	-1010.0 	[2, 0] 	0
main	18 	7 	 T1T2 	 0.0 	10 	6 	6 	1.0 	-1009.0 	20 	1 	1 	1.0 	-1019.0 	[2, 0] 	0
main	19 	7 	 T1T2 	 0.0 	10 	8 	8 	1.0 	-1009.0 	15 	7 	7 	1.0 	-1014.0 	[2, 0] 	0
main	20 	7 	 T1T2 	 0.0 	14 	5 	5 	1.0 	-1013.0 	22 	2 	2 	1.0 	-1021.0 	[6, 0] 	19
main	21 	7 	 T1T2 	 0.0 	14 	6 	6 	1.0 	-1013.0 	16 	3 	3 	1.0 	-1015.0 	[6, 0] 	0
main	22 	7 	 T1T2 	 0.0 	14 	9 	0 	0.0 	-1013.0 	15 	0 	9 	0.0 	-1014.0 	[6, 0] 	0
main	23 	7 	 T1T2 	 0.0 	14 	1 	1 	1.0 	-1013.0 	24 	8 	8 	1.0 	-1023.0 	[6, 0] 	0
main	24 	7 	 T1T2 	 0.0 	14 	2 	1 	0.0 	-1013.0 	19 	9 	9 	1.0 	-1018.0 	[6, 0] 	0
main	25 	7 	 T1T2 	 0.0 	6 	1 	1 	1.0 	-1005.0 	14 	8 	8 	1.0 	-1013.0 	[6, 0] 	0
main	26 	7 	 T1T2 	 0.0 	6 	6 	6 	1.0 	-1005.0 	8 	3 	3 	1.0 	-1007.0 	[6, 0] 	0
main	27 	7 	 T1T2 	 0.0 	6 	0 	2 	0.0 	-1005.0 	7 	2 	0 	0.0 	-1006.0 	[6, 0] 	0
main	28 	7 	 T1T2 	 0.0 	6 	4 	4 	1.0 	-1005.0 	16 	2 	2 	1.0 	-1015.0 	[6, 0] 	0
main	29 	7 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	11 	6 	0 	0.0 	-1010.0 	[6, 0] 	0
main	30 	7 	 T1T2 	 0.0 	8 	5 	5 	1.0 	-1007.0 	16 	8 	8 	1.0 	-1015.0 	[6, 0] 	0
main	31 	7 	 T1T2 	 0.0 	8 	2 	2 	1.0 	-1007.0 	10 	5 	5 	1.0 	-1009.0 	[6, 0] 	0
main	32 	7 	 T1T2 	 0.0 	8 	5 	5 	1.0 	-1007.0 	9 	0 	0 	1.0 	-1008.0 	[6, 0] 	0
main	33 	7 	 T1T2 	 0.0 	8 	2 	2 	1.0 	-1007.0 	18 	5 	5 	1.0 	-1017.0 	[6, 0] 	0
main	34 	7 	 T1T2 	 0.0 	8 	8 	8 	1.0 	-1007.0 	13 	2 	2 	1.0 	-1012.0 	[6, 0] 	0
main	35 	7 	 T1T2 	 0.0 	10 	1 	5 	0.0 	-1009.0 	18 	5 	1 	0.0 	-1017.0 	[6, 0] 	0
main	36 	7 	 T1T2 	 0.0 	10 	9 	9 	1.0 	-1009.0 	12 	3 	3 	1.0 	-1011.0 	[6, 0] 	0
main	37 	7 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	11 	8 	8 	1.0 	-1010.0 	[6, 0] 	0
main	38 	7 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	20 	3 	5 	0.0 	-1019.0 	[6, 0] 	0
