experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	timingBlipsmain	0 	6 	 T1T2 	 0.0 	8 	8 	8 	1.0 	-1007.0 	10 	3 	1 	0.0 	-1009.0 	[-2, 0] 	0
main	36 	6 	 T1T2 	 0.0 	10 	7 	4 	0.0 	-1009.0 	20 	1 	1 	1.0 	-1019.0 	[-6, 0] 	0
main	37 	6 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	18 	8 	8 	1.0 	-1017.0 	[-6, 0] 	0
main	38 	6 	 T1T2 	 0.0 	10 	9 	9 	1.0 	-1009.0 	11 	7 	7 	1.0 	-1010.0 	[-6, 0] 	0
main	39 	6 	 T1T2 	 0.0 	10 	8 	8 	1.0 	-1009.0 	15 	1 	1 	1.0 	-1014.0 	[-6, 0] 	0
main	40 	6 	 T1T2 	 0.0 	8 	1 	1 	1.0 	-1007.0 	10 	4 	4 	1.0 	-1009.0 	[2, 0] 	0
main	41 	6 	 T1T2 	 0.0 	8 	4 	8 	0.0 	-1007.0 	18 	2 	2 	1.0 	-1017.0 	[2, 0] 	0
main	42 	6 	 T1T2 	 0.0 	8 	8 	8 	1.0 	-1007.0 	16 	9 	9 	1.0 	-1015.0 	[2, 0] 	0
main	43 	6 	 T1T2 	 0.0 	8 	2 	5 	0.0 	-1007.0 	9 	5 	4 	0.0 	-1008.0 	[2, 0] 	0
main	44 	6 	 T1T2 	 0.0 	8 	2 	2 	1.0 	-1007.0 	13 	4 	4 	1.0 	-1012.0 	[2, 0] 	0
main	45 	6 	 T1T2 	 0.0 	14 	3 	1 	0.0 	-1013.0 	16 	1 	3 	0.0 	-1015.0 	[2, 0] 	0
main	46 	6 	 T1T2 	 0.0 	14 	2 	2 	1.0 	-1013.0 	24 	5 	1 	0.0 	-1023.0 	[2, 0] 	0
main	47 	6 	 T1T2 	 0.0 	14 	3 	3 	1.0 	-1013.0 	22 	5 	5 	1.0 	-1021.0 	[2, 0] 	0
main	48 	6 	 T1T2 	 0.0 	14 	7 	8 	0.0 	-1013.0 	15 	3 	1 	0.0 	-1014.0 	[2, 0] 	0
main	49 	6 	 T1T2 	 0.0 	14 	0 	1 	0.0 	-1013.0 	19 	9 	9 	1.0 	-1018.0 	[2, 0] 	0
main	50 	6 	 T1T2 	 0.0 	6 	5 	1 	0.0 	-1005.0 	8 	1 	5 	0.0 	-1007.0 	[2, 0] 	0
main	51 	6 	 T1T2 	 0.0 	6 	7 	1 	0.0 	-1005.0 	16 	4 	2 	0.0 	-1015.0 	[2, 0] 	0
main	52 	6 	 T1T2 	 0.0 	6 	1 	1 	1.0 	-1005.0 	14 	6 	6 	1.0 	-1013.0 	[2, 0] 	0
main	53 	6 	 T1T2 	 0.0 	6 	0 	0 	1.0 	-1005.0 	7 	7 	5 	0.0 	-1006.0 	[2, 0] 	0
main	54 	6 	 T1T2 	 0.0 	6 	9 	9 	1.0 	-1005.0 	11 	1 	1 	1.0 	-1010.0 	[2, 0] 	0
main	55 	6 	 T1T2 	 0.0 	10 	8 	9 	0.0 	-1009.0 	12 	5 	4 	0.0 	-1011.0 	[2, 0] 	0
main	56 	6 	 T1T2 	 0.0 	10 	4 	4 	1.0 	-1009.0 	20 	2 	2 	1.0 	-1019.0 	[2, 0] 	0
main	57 	6 	 T1T2 	 0.0 	10 	5 	5 	1.0 	-1009.0 	18 	4 	4 	1.0 	-1017.0 	[2, 0] 	0
main	58 	6 	 T1T2 	 0.0 	10 	4 	4 	1.0 	-1009.0 	11 	7 	7 	1.0 	-1010.0 	[2, 0] 	0
