experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	
timingBlips
main	0 	Adi 	 T1T2 	 0.0 	14 	5 	4 	0.0 	-1013.0 	24 	4 	7 	0.0 	-1023.0 	[6, 0] 	0
main	1 	Adi 	 T1T2 	 0.0 	14 	4 	3 	0.0 	-1013.0 	19 	0 	6 	0.0 	-1018.0 	[6, 0] 	0
main	2 	Adi 	 T1T2 	 0.0 	14 	2 	2 	1.0 	-1013.0 	15 	6 	6 	1.0 	-1014.0 	[6, 0] 	0
main	3 	Adi 	 T1T2 	 0.0 	14 	8 	2 	0.0 	-1013.0 	22 	3 	8 	0.0 	-1021.0 	[6, 0] 	0
main	4 	Adi 	 T1T2 	 0.0 	14 	1 	1 	1.0 	-1013.0 	16 	2 	2 	1.0 	-1015.0 	[6, 0] 	0
main	5 	Adi 	 T1T2 	 0.0 	6 	4 	4 	1.0 	-1005.0 	16 	1 	1 	1.0 	-1015.0 	[6, 0] 	0
main	6 	Adi 	 T1T2 	 0.0 	6 	7 	7 	1.0 	-1005.0 	11 	6 	6 	1.0 	-1010.0 	[6, 0] 	0
main	7 	Adi 	 T1T2 	 0.0 	6 	7 	7 	1.0 	-1005.0 	7 	3 	3 	1.0 	-1006.0 	[6, 0] 	0
main	8 	Adi 	 T1T2 	 0.0 	6 	9 	9 	1.0 	-1005.0 	14 	7 	7 	1.0 	-1013.0 	[6, 0] 	0
main	9 	Adi 	 T1T2 	 0.0 	6 	6 	6 	1.0 	-1005.0 	8 	7 	4 	0.0 	-1007.0 	[6, 0] 	0
main	10 	Adi 	 T1T2 	 0.0 	10 	2 	2 	1.0 	-1009.0 	20 	3 	3 	1.0 	-1019.0 	[6, 0] 	0
main	11 	Adi 	 T1T2 	 0.0 	10 	0 	2 	0.0 	-1009.0 	15 	3 	3 	1.0 	-1014.0 	[6, 0] 	0
main	12 	Adi 	 T1T2 	 0.0 	10 	4 	4 	1.0 	-1009.0 	11 	3 	3 	1.0 	-1010.0 	[6, 0] 	0
main	13 	Adi 	 T1T2 	 0.0 	10 	2 	2 	1.0 	-1009.0 	18 	1 	1 	1.0 	-1017.0 	[6, 0] 	0
main	14 	Adi 	 T1T2 	 0.0 	10 	3 	3 	1.0 	-1009.0 	12 	9 	9 	1.0 	-1011.0 	[6, 0] 	0
main	15 	Adi 	 T1T2 	 0.0 	8 	9 	9 	1.0 	-1007.0 	18 	7 	7 	1.0 	-1017.0 	[6, 0] 	0
