experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	timingBlips
main	0 	14 	 T1T2 	 0.0 	10 	2 	3 	0.0 	-1009.0 	11 	9 	9 	1.0 	-1010.0 	[-6, 0] 	1
main	1 	14 	 T1T2 	 0.0 	10 	3 	3 	1.0 	-1009.0 	12 	4 	3 	0.0 	-1011.0 	[-6, 0] 	0
main	2 	14 	 T1T2 	 0.0 	10 	2 	2 	1.0 	-1009.0 	18 	5 	5 	1.0 	-1017.0 	[-6, 0] 	0
main	3 	14 	 T1T2 	 0.0 	10 	5 	1 	0.0 	-1009.0 	15 	1 	1 	1.0 	-1014.0 	[-6, 0] 	0
main	4 	14 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	20 	6 	6 	1.0 	-1019.0 	[-6, 0] 	0
main	5 	14 	 T1T2 	 0.0 	8 	8 	9 	0.0 	-1007.0 	9 	9 	9 	1.0 	-1008.0 	[-6, 0] 	0
main	6 	14 	 T1T2 	 0.0 	8 	3 	3 	1.0 	-1007.0 	10 	5 	7 	0.0 	-1009.0 	[-6, 0] 	0
main	7 	14 	 T1T2 	 0.0 	8 	3 	3 	1.0 	-1007.0 	16 	9 	3 	0.0 	-1015.0 	[-6, 0] 	0
main	8 	14 	 T1T2 	 0.0 	8 	1 	1 	1.0 	-1007.0 	13 	0 	3 	0.0 	-1012.0 	[-6, 0] 	0
main	9 	14 	 T1T2 	 0.0 	8 	4 	4 	1.0 	-1007.0 	18 	6 	6 	1.0 	-1017.0 	[-6, 0] 	0
main	10 	14 	 T1T2 	 0.0 	6 	7 	3 	0.0 	-1005.0 	7 	3 	2 	0.0 	-1006.0 	[-6, 0] 	0
main	11 	14 	 T1T2 	 0.0 	6 	6 	6 	1.0 	-1005.0 	8 	7 	6 	0.0 	-1007.0 	[-6, 0] 	0
main	12 	14 	 T1T2 	 0.0 	6 	7 	7 	1.0 	-1005.0 	14 	3 	3 	1.0 	-1013.0 	[-6, 0] 	0
main	13 	14 	 T1T2 	 0.0 	6 	6 	6 	1.0 	-1005.0 	11 	9 	9 	1.0 	-1010.0 	[-6, 0] 	0
main	14 	14 	 T1T2 	 0.0 	6 	9 	9 	1.0 	-1005.0 	16 	2 	2 	1.0 	-1015.0 	[-6, 0] 	0
main	15 	14 	 T1T2 	 0.0 	14 	6 	5 	0.0 	-1013.0 	15 	5 	6 	0.0 	-1014.0 	[-6, 0] 	0
main	16 	14 	 T1T2 	 0.0 	14 	8 	8 	1.0 	-1013.0 	16 	3 	8 	0.0 	-1015.0 	[-6, 0] 	0
main	17 	14 	 T1T2 	 0.0 	14 	1 	1 	1.0 	-1013.0 	22 	0 	0 	1.0 	-1021.0 	[-6, 0] 	0
main	18 	14 	 T1T2 	 0.0 	14 	1 	1 	1.0 	-1013.0 	19 	2 	2 	1.0 	-1018.0 	[-6, 0] 	0
main	19 	14 	 T1T2 	 0.0 	14 	5 	5 	1.0 	-1013.0 	24 	7 	7 	1.0 	-1023.0 	[-6, 0] 	0
main	20 	14 	 T1T2 	 0.0 	10 	5 	5 	1.0 	-1009.0 	11 	9 	0 	0.0 	-1010.0 	[6, 0] 	0
main	21 	14 	 T1T2 	 0.0 	10 	5 	5 	1.0 	-1009.0 	12 	0 	5 	0.0 	-1011.0 	[6, 0] 	0
main	22 	14 	 T1T2 	 0.0 	10 	7 	7 	1.0 	-1009.0 	18 	1 	1 	1.0 	-1017.0 	[6, 0] 	0
main	23 	14 	 T1T2 	 0.0 	10 	4 	4 	1.0 	-1009.0 	15 	3 	3 	1.0 	-1014.0 	[6, 0] 	0
main	24 	14 	 T1T2 	 0.0 	10 	2 	2 	1.0 	-1009.0 	20 	8 	8 	1.0 	-1019.0 	[6, 0] 	0
main	25 	14 	 T1T2 	 0.0 	8 	9 	3 	0.0 	-1007.0 	9 	3 	2 	0.0 	-1008.0 	[6, 0] 	0
main	26 	14 	 T1T2 	 0.0 	8 	9 	3 	0.0 	-1007.0 	10 	3 	3 	1.0 	-1009.0 	[6, 0] 	0
main	27 	14 	 T1T2 	 0.0 	8 	3 	3 	1.0 	-1007.0 	16 	7 	7 	1.0 	-1015.0 	[6, 0] 	0
main	28 	14 	 T1T2 	 0.0 	8 	7 	7 	1.0 	-1007.0 	13 	8 	7 	0.0 	-1012.0 	[6, 0] 	0
main	29 	14 	 T1T2 	 0.0 	8 	7 	7 	1.0 	-1007.0 	18 	4 	4 	1.0 	-1017.0 	[6, 0] 	0
main	30 	14 	 T1T2 	 0.0 	6 	2 	9 	0.0 	-1005.0 	7 	9 	2 	0.0 	-1006.0 	[6, 0] 	0
main	31 	14 	 T1T2 	 0.0 	6 	5 	5 	1.0 	-1005.0 	8 	6 	6 	1.0 	-1007.0 	[6, 0] 	0
main	32 	14 	 T1T2 	 0.0 	6 	4 	4 	1.0 	-1005.0 	14 	3 	3 	1.0 	-1013.0 	[6, 0] 	0
main	33 	14 	 T1T2 	 0.0 	6 	9 	9 	1.0 	-1005.0 	11 	8 	8 	1.0 	-1010.0 	[6, 0] 	0
main	34 	14 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	16 	1 	1 	1.0 	-1015.0 	[6, 0] 	0
main	35 	14 	 T1T2 	 0.0 	14 	2 	2 	1.0 	-1013.0 	15 	4 	4 	1.0 	-1014.0 	[6, 0] 	0
main	36 	14 	 T1T2 	 0.0 	14 	4 	3 	0.0 	-1013.0 	16 	7 	7 	1.0 	-1015.0 	[6, 0] 	0
main	37 	14 	 T1T2 	 0.0 	14 	5 	5 	1.0 	-1013.0 	22 	9 	9 	1.0 	-1021.0 	[6, 0] 	0
main	38 	14 	 T1T2 	 0.0 	14 	5 	5 	1.0 	-1013.0 	19 	1 	1 	1.0 	-1018.0 	[6, 0] 	0
main	39 	14 	 T1T2 	 0.0 	14 	8 	8 	1.0 	-1013.0 	24 	1 	1 	1.0 	-1023.0 	[6, 0] 	0
main	40 	14 	 T1T2 	 0.0 	10 	8 	8 	1.0 	-1009.0 	11 	7 	8 	0.0 	-1010.0 	[-2, 0] 	0
main	41 	14 	 T1T2 	 0.0 	10 	3 	3 	1.0 	-1009.0 	12 	4 	3 	0.0 	-1011.0 	[-2, 0] 	0
main	42 	14 	 T1T2 	 0.0 	10 	4 	4 	1.0 	-1009.0 	18 	0 	0 	1.0 	-1017.0 	[-2, 0] 	0
main	43 	14 	 T1T2 	 0.0 	10 	0 	3 	0.0 	-1009.0 	15 	5 	5 	1.0 	-1014.0 	[-2, 0] 	0
main	44 	14 	 T1T2 	 0.0 	10 	6 	6 	1.0 	-1009.0 	20 	3 	3 	1.0 	-1019.0 	[-2, 0] 	0
