experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	
main	42 	13 	 T1T2 	 0.0 	14 	8 	4 	0.0 	-1013.0 	15 	4 	5 	0.0 	-1014.0 	[-6, 0] 	0
main	43 	13 	 T1T2 	 0.0 	14 	7 	0 	0.0 	-1013.0 	19 	3 	5 	0.0 	-1018.0 	[-6, 0] 	0
main	44 	13 	 T1T2 	 0.0 	14 	5 	0 	0.0 	-1013.0 	22 	8 	4 	0.0 	-1021.0 	[-6, 0] 	0
main	45 	13 	 T1T2 	 0.0 	8 	0 	0 	1.0 	-1007.0 	18 	2 	2 	1.0 	-1017.0 	[-6, 0] 	0
main	46 	13 	 T1T2 	 0.0 	8 	8 	8 	1.0 	-1007.0 	10 	2 	3 	0.0 	-1009.0 	[-6, 0] 	1
main	47 	13 	 T1T2 	 0.0 	8 	2 	4 	0.0 	-1007.0 	9 	4 	2 	0.0 	-1008.0 	[-6, 0] 	0
main	48 	13 	 T1T2 	 0.0 	8 	5 	5 	1.0 	-1007.0 	13 	7 	1 	0.0 	-1012.0 	[-6, 0] 	0
main	49 	13 	 T1T2 	 0.0 	8 	0 	5 	0.0 	-1007.0 	16 	3 	3 	1.0 	-1015.0 	[-6, 0] 	0
main	50 	13 	 T1T2 	 0.0 	6 	6 	6 	1.0 	-1005.0 	16 	0 	0 	1.0 	-1015.0 	[-6, 0] 	0
main	51 	13 	 T1T2 	 0.0 	6 	7 	0 	0.0 	-1005.0 	8 	1 	1 	1.0 	-1007.0 	[-6, 0] 	0
main	52 	13 	 T1T2 	 0.0 	6 	4 	7 	0.0 	-1005.0 	7 	1 	0 	0.0 	-1006.0 	[-6, 0] 	0
main	53 	13 	 T1T2 	 0.0 	6 	2 	3 	0.0 	-1005.0 	11 	3 	7 	0.0 	-1010.0 	[-6, 0] 	0
main	54 	13 	 T1T2 	 0.0 	6 	1 	1 	1.0 	-1005.0 	14 	6 	4 	0.0 	-1013.0 	[-6, 0] 	0
main	55 	13 	 T1T2 	 0.0 	10 	8 	4 	0.0 	-1009.0 	20 	4 	3 	0.0 	-1019.0 	[-6, 0] 	0
main	56 	13 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	12 	9 	1 	0.0 	-1011.0 	[-6, 0] 	0
main	57 	13 	 T1T2 	 0.0 	10 	8 	6 	0.0 	-1009.0 	11 	6 	8 	0.0 	-1010.0 	[-6, 0] 	0
main	58 	13 	 T1T2 	 0.0 	10 	0 	4 	0.0 	-1009.0 	15 	3 	9 	0.0 	-1014.0 	[-6, 0] 	0
main	59 	13 	 T1T2 	 0.0 	10 	5 	7 	0.0 	-1009.0 	18 	4 	4 	1.0 	-1017.0 	[-6, 0] 	0
main	60 	13 	 T1T2 	 0.0 	14 	8 	4 	0.0 	-1013.0 	24 	3 	3 	1.0 	-1023.0 	[2, 0] 	0
main	61 	13 	 T1T2 	 0.0 	14 	8 	7 	0.0 	-1013.0 	16 	7 	6 	0.0 	-1015.0 	[2, 0] 	0
main	62 	13 	 T1T2 	 0.0 	14 	4 	4 	1.0 	-1013.0 	15 	7 	7 	1.0 	-1014.0 	[2, 0] 	0
main	63 	13 	 T1T2 	 0.0 	14 	1 	1 	1.0 	-1013.0 	19 	7 	7 	1.0 	-1018.0 	[2, 0] 	2
main	64 	13 	 T1T2 	 0.0 	14 	0 	3 	0.0 	-1013.0 	22 	8 	7 	0.0 	-1021.0 	[2, 0] 	0
main	65 	13 	 T1T2 	 0.0 	8 	8 	0 	0.0 	-1007.0 	18 	0 	3 	0.0 	-1017.0 	[2, 0] 	0
main	66 	13 	 T1T2 	 0.0 	8 	4 	7 	0.0 	-1007.0 	10 	0 	1 	0.0 	-1009.0 	[2, 0] 	0
main	67 	13 	 T1T2 	 0.0 	8 	7 	9 	0.0 	-1007.0 	9 	9 	1 	0.0 	-1008.0 	[2, 0] 	0
main	68 	13 	 T1T2 	 0.0 	8 	2 	2 	1.0 	-1007.0 	13 	5 	3 	0.0 	-1012.0 	[2, 0] 	0
main	69 	13 	 T1T2 	 0.0 	8 	5 	3 	0.0 	-1007.0 	16 	9 	2 	0.0 	-1015.0 	[2, 0] 	0
main	70 	13 	 T1T2 	 0.0 	6 	6 	6 	1.0 	-1005.0 	16 	8 	8 	1.0 	-1015.0 	[2, 0] 	0
main	71 	13 	 T1T2 	 0.0 	6 	0 	7 	0.0 	-1005.0 	8 	7 	0 	0.0 	-1007.0 	[2, 0] 	0
main	72 	13 	 T1T2 	 0.0 	6 	5 	0 	0.0 	-1005.0 	7 	8 	8 	1.0 	-1006.0 	[2, 0] 	0
main	73 	13 	 T1T2 	 0.0 	6 	9 	9 	1.0 	-1005.0 	11 	4 	4 	1.0 	-1010.0 	[2, 0] 	0
main	74 	13 	 T1T2 	 0.0 	6 	2 	2 	1.0 	-1005.0 	14 	8 	8 	1.0 	-1013.0 	[2, 0] 	0
main	75 	13 	 T1T2 	 0.0 	10 	6 	6 	1.0 	-1009.0 	20 	5 	0 	0.0 	-1019.0 	[2, 0] 	0
main	76 	13 	 T1T2 	 0.0 	10 	8 	8 	1.0 	-1009.0 	12 	0 	1 	0.0 	-1011.0 	[2, 0] 	0
main	77 	13 	 T1T2 	 0.0 	10 	7 	8 	0.0 	-1009.0 	11 	8 	3 	0.0 	-1010.0 	[2, 0] 	0
main	78 	13 	 T1T2 	 0.0 	10 	7 	7 	1.0 	-1009.0 	15 	5 	4 	0.0 	-1014.0 	[2, 0] 	0
main	79 	13 	 T1T2 	 0.0 	10 	5 	5 	1.0 	-1009.0 	18 	2 	2 	1.0 	-1017.0 	[2, 0] 	0
main	80 	13 	 T1T2 	 0.0 	14 	2 	3 	0.0 	-1013.0 	24 	1 	1 	1.0 	-1023.0 	[6, 0] 	0
