experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	timingBlipsmain	0 	15 	 T1T2 	 0.0 	8 	7 	1 	0.0 	-1007.0 	10 	2 	3 	0.0 	-1009.0 	[-6, 0] 	0
main	1 	15 	 T1T2 	 0.0 	8 	0 	0 	1.0 	-1007.0 	18 	9 	9 	1.0 	-1017.0 	[-6, 0] 	0
main	2 	15 	 T1T2 	 0.0 	8 	4 	5 	0.0 	-1007.0 	9 	5 	0 	0.0 	-1008.0 	[-6, 0] 	0
main	3 	15 	 T1T2 	 0.0 	8 	3 	3 	1.0 	-1007.0 	13 	0 	0 	1.0 	-1012.0 	[-6, 0] 	0
main	4 	15 	 T1T2 	 0.0 	8 	1 	1 	1.0 	-1007.0 	16 	3 	3 	1.0 	-1015.0 	[-6, 0] 	0
main	5 	15 	 T1T2 	 0.0 	10 	6 	6 	1.0 	-1009.0 	12 	0 	8 	0.0 	-1011.0 	[-6, 0] 	0
main	6 	15 	 T1T2 	 0.0 	10 	7 	7 	1.0 	-1009.0 	20 	9 	9 	1.0 	-1019.0 	[-6, 0] 	0
main	7 	15 	 T1T2 	 0.0 	10 	5 	4 	0.0 	-1009.0 	11 	4 	6 	0.0 	-1010.0 	[-6, 0] 	0
main	8 	15 	 T1T2 	 0.0 	10 	6 	6 	1.0 	-1009.0 	15 	2 	2 	1.0 	-1014.0 	[-6, 0] 	0
main	9 	15 	 T1T2 	 0.0 	10 	9 	9 	1.0 	-1009.0 	18 	2 	2 	1.0 	-1017.0 	[-6, 0] 	0
main	10 	15 	 T1T2 	 0.0 	14 	8 	8 	1.0 	-1013.0 	16 	5 	5 	1.0 	-1015.0 	[-6, 0] 	0
main	11 	15 	 T1T2 	 0.0 	14 	2 	2 	1.0 	-1013.0 	24 	1 	1 	1.0 	-1023.0 	[-6, 0] 	0
main	12 	15 	 T1T2 	 0.0 	14 	0 	0 	1.0 	-1013.0 	15 	5 	5 	1.0 	-1014.0 	[-6, 0] 	0
main	13 	15 	 T1T2 	 0.0 	14 	4 	4 	1.0 	-1013.0 	19 	6 	6 	1.0 	-1018.0 	[-6, 0] 	0
main	14 	15 	 T1T2 	 0.0 	14 	0 	0 	1.0 	-1013.0 	22 	2 	2 	1.0 	-1021.0 	[-6, 0] 	0
main	15 	15 	 T1T2 	 0.0 	6 	7 	1 	0.0 	-1005.0 	8 	1 	0 	0.0 	-1007.0 	[-6, 0] 	0
main	16 	15 	 T1T2 	 0.0 	6 	1 	1 	1.0 	-1005.0 	16 	3 	3 	1.0 	-1015.0 	[-6, 0] 	0
main	17 	15 	 T1T2 	 0.0 	6 	0 	0 	1.0 	-1005.0 	7 	8 	8 	1.0 	-1006.0 	[-6, 0] 	0
main	18 	15 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	11 	4 	4 	1.0 	-1010.0 	[-6, 0] 	0
main	19 	15 	 T1T2 	 0.0 	6 	0 	0 	1.0 	-1005.0 	14 	4 	4 	1.0 	-1013.0 	[-6, 0] 	0
main	20 	15 	 T1T2 	 0.0 	8 	3 	3 	1.0 	-1007.0 	10 	2 	2 	1.0 	-1009.0 	[6, 0] 	0
main	21 	15 	 T1T2 	 0.0 	8 	7 	9 	0.0 	-1007.0 	18 	9 	1 	0.0 	-1017.0 	[6, 0] 	0
main	22 	15 	 T1T2 	 0.0 	8 	7 	7 	1.0 	-1007.0 	9 	1 	1 	1.0 	-1008.0 	[6, 0] 	0
main	23 	15 	 T1T2 	 0.0 	8 	4 	6 	0.0 	-1007.0 	13 	6 	2 	0.0 	-1012.0 	[6, 0] 	0
main	24 	15 	 T1T2 	 0.0 	8 	2 	2 	1.0 	-1007.0 	16 	0 	0 	1.0 	-1015.0 	[6, 0] 	0
main	25 	15 	 T1T2 	 0.0 	10 	2 	2 	1.0 	-1009.0 	12 	5 	5 	1.0 	-1011.0 	[6, 0] 	0
main	26 	15 	 T1T2 	 0.0 	10 	7 	7 	1.0 	-1009.0 	20 	5 	3 	0.0 	-1019.0 	[6, 0] 	0
main	27 	15 	 T1T2 	 0.0 	10 	6 	6 	1.0 	-1009.0 	11 	2 	2 	1.0 	-1010.0 	[6, 0] 	0
main	28 	15 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	15 	8 	8 	1.0 	-1014.0 	[6, 0] 	0
main	29 	15 	 T1T2 	 0.0 	10 	2 	2 	1.0 	-1009.0 	18 	6 	6 	1.0 	-1017.0 	[6, 0] 	0
