experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,answerPos1,answer1,response1,correct1,responsePosRelative1,spatialPos,timingBlips
main,0,16, T1T2 ,0,10,7,4,0,-1009,15,8,8,1,-1014,"[6, 0] ",0
main,1,16, T1T2 ,0,10,4,4,1,-1009,12,5,4,0,-1011,"[6, 0] ",0
main,2,16, T1T2 ,0,10,4,6,0,-1009,18,0,7,0,-1017,"[6, 0] ",0
main,3,16, T1T2 ,0,10,5,6,0,-1009,20,7,3,0,-1019,"[6, 0] ",0
main,4,16, T1T2 ,0,10,4,2,0,-1009,11,2,6,0,-1010,"[6, 0] ",0
main,5,16, T1T2 ,0,6,6,7,0,-1005,11,2,4,0,-1010,"[6, 0] ",0
main,6,16, T1T2 ,0,6,3,3,1,-1005,8,4,3,0,-1007,"[6, 0] ",0
main,7,16, T1T2 ,0,6,0,8,0,-1005,14,8,7,0,-1013,"[6, 0] ",0
main,8,16, T1T2 ,0,6,3,3,1,-1005,16,4,4,1,-1015,"[6, 0] ",0
main,9,16, T1T2 ,0,6,8,8,1,-1005,7,3,0,0,-1006,"[6, 0] ",0
main,10,16, T1T2 ,0,14,1,1,1,-1013,19,2,2,1,-1018,"[6, 0] ",0
main,11,16, T1T2 ,0,14,9,3,0,-1013,16,3,0,0,-1015,"[6, 0] ",0
main,12,16, T1T2 ,0,14,3,9,0,-1013,22,1,1,1,-1021,"[6, 0] ",0
main,13,16, T1T2 ,0,14,4,8,0,-1013,24,6,4,0,-1023,"[6, 0] ",0
main,14,16, T1T2 ,0,14,2,2,1,-1013,15,6,1,0,-1014,"[6, 0] ",0
main,15,16, T1T2 ,0,8,7,4,0,-1007,13,5,8,0,-1012,"[6, 0] ",0
main,16,16, T1T2 ,0,8,2,2,1,-1007,10,8,6,0,-1009,"[6, 0] ",0
main,17,16, T1T2 ,0,8,2,4,0,-1007,16,5,0,0,-1015,"[6, 0] ",0
main,18,16, T1T2 ,0,8,8,3,0,-1007,18,5,0,0,-1017,"[6, 0] ",0
main,19,16, T1T2 ,0,8,1,1,1,-1007,9,5,7,0,-1008,"[6, 0] ",0
main,20,16, T1T2 ,0,10,9,3,0,-1009,15,7,6,0,-1014,"[2, 0] ",0
main,21,16, T1T2 ,0,10,1,1,1,-1009,12,2,1,0,-1011,"[2, 0] ",0
main,22,16, T1T2 ,0,10,7,1,0,-1009,18,5,2,0,-1017,"[2, 0] ",0
main,23,16, T1T2 ,0,10,3,5,0,-1009,20,5,4,0,-1019,"[2, 0] ",0
main,24,16, T1T2 ,0,10,8,8,1,-1009,11,6,7,0,-1010,"[2, 0] ",0
main,25,16, T1T2 ,0,6,3,3,1,-1005,11,8,8,1,-1010,"[2, 0] ",0
main,26,16, T1T2 ,0,6,4,4,1,-1005,8,5,7,0,-1007,"[2, 0] ",0
main,27,16, T1T2 ,0,6,0,9,0,-1005,14,9,1,0,-1013,"[2, 0] ",0
main,28,16, T1T2 ,0,6,9,0,0,-1005,16,4,4,1,-1015,"[2, 0] ",0
main,29,16, T1T2 ,0,6,7,3,0,-1005,7,6,8,0,-1006,"[2, 0] ",0
main,30,16, T1T2 ,0,14,5,4,0,-1013,19,9,9,1,-1018,"[2, 0] ",0
main,31,16, T1T2 ,0,14,7,4,0,-1013,16,4,3,0,-1015,"[2, 0] ",0
main,32,16, T1T2 ,0,14,7,9,0,-1013,22,5,1,0,-1021,"[2, 0] ",0
main,33,16, T1T2 ,0,14,5,5,1,-1013,24,3,3,1,-1023,"[2, 0] ",0
main,34,16, T1T2 ,0,14,0,8,0,-1013,15,2,3,0,-1014,"[2, 0] ",0
main,35,16, T1T2 ,0,8,2,2,1,-1007,13,3,3,1,-1012,"[2, 0] ",0
main,36,16, T1T2 ,0,8,2,2,1,-1007,10,4,2,0,-1009,"[2, 0] ",14
main,37,16, T1T2 ,0,8,0,2,0,-1007,16,6,6,1,-1015,"[2, 0] ",0
main,38,16, T1T2 ,0,8,3,3,1,-1007,18,6,6,1,-1017,"[2, 0] ",0
main,39,16, T1T2 ,0,8,2,0,0,-1007,9,0,8,0,-1008,"[2, 0] ",0
main,40,16, T1T2 ,0,10,9,9,1,-1009,15,8,8,1,-1014,"[-6, 0] ",0
main,41,16, T1T2 ,0,10,8,7,0,-1009,12,3,8,0,-1011,"[-6, 0] ",0
main,42,16, T1T2 ,0,10,4,4,1,-1009,18,1,1,1,-1017,"[-6, 0] ",0
main,43,16, T1T2 ,0,10,4,4,1,-1009,20,0,0,1,-1019,"[-6, 0] ",0
main,44,16, T1T2 ,0,10,5,5,1,-1009,11,6,9,0,-1010,"[-6, 0] ",0
main,45,16, T1T2 ,0,6,7,8,0,-1005,11,8,0,0,-1010,"[-6, 0] ",0
main,46,16, T1T2 ,0,6,6,6,1,-1005,8,2,8,0,-1007,"[-6, 0] ",0
main,47,16, T1T2 ,0,6,6,2,0,-1005,14,0,4,0,-1013,"[-6, 0] ",0
main,48,16, T1T2 ,0,6,8,8,1,-1005,16,4,4,1,-1015,"[-6, 0] ",0
main,49,16, T1T2 ,0,6,0,4,0,-1005,7,4,5,0,-1006,"[-6, 0] ",0
main,50,16, T1T2 ,0,14,7,7,1,-1013,19,0,0,1,-1018,"[-6, 0] ",0
main,51,16, T1T2 ,0,14,3,8,0,-1013,16,7,4,0,-1015,"[-6, 0] ",0
main,52,16, T1T2 ,0,14,1,0,0,-1013,22,8,1,0,-1021,"[-6, 0] ",0
main,53,16, T1T2 ,0,14,8,8,1,-1013,24,6,5,0,-1023,"[-6, 0] ",0
main,54,16, T1T2 ,0,14,1,1,1,-1013,15,0,0,1,-1014,"[-6, 0] ",0
main,55,16, T1T2 ,0,8,6,6,1,-1007,13,4,4,1,-1012,"[-6, 0] ",0
main,56,16, T1T2 ,0,8,7,6,0,-1007,10,3,1,0,-1009,"[-6, 0] ",0
main,57,16, T1T2 ,0,8,7,8,0,-1007,16,9,2,0,-1015,"[-6, 0] ",0
main,58,16, T1T2 ,0,8,1,1,1,-1007,18,8,8,1,-1017,"[-6, 0] ",0
main,59,16, T1T2 ,0,8,8,8,1,-1007,9,5,5,1,-1008,"[-6, 0] ",0
main,60,16, T1T2 ,0,10,3,3,1,-1009,15,7,3,0,-1014,"[-2, 0] ",0
main,61,16, T1T2 ,0,10,5,5,1,-1009,12,9,8,0,-1011,"[-2, 0] ",0
main,62,16, T1T2 ,0,10,6,6,1,-1009,18,8,8,1,-1017,"[-2, 0] ",0
main,63,16, T1T2 ,0,10,0,0,1,-1009,20,1,6,0,-1019,"[-2, 0] ",0
main,64,16, T1T2 ,0,10,3,0,0,-1009,11,0,3,0,-1010,"[-2, 0] ",0
main,65,16, T1T2 ,0,6,2,2,1,-1005,11,3,3,1,-1010,"[-2, 0] ",0
main,66,16, T1T2 ,0,6,9,1,0,-1005,8,2,9,0,-1007,"[-2, 0] ",0
main,67,16, T1T2 ,0,6,3,3,1,-1005,14,6,1,0,-1013,"[-2, 0] ",0
main,68,16, T1T2 ,0,6,8,8,1,-1005,16,2,2,1,-1015,"[-2, 0] ",1
main,69,16, T1T2 ,0,6,1,1,1,-1005,7,4,2,0,-1006,"[-2, 0] ",0
main,70,16, T1T2 ,0,14,5,5,1,-1013,19,6,6,1,-1018,"[-2, 0] ",0
main,71,16, T1T2 ,0,14,0,9,0,-1013,16,6,6,1,-1015,"[-2, 0] ",0
main,72,16, T1T2 ,0,14,6,6,1,-1013,22,4,4,1,-1021,"[-2, 0] ",0
main,73,16, T1T2 ,0,14,0,2,0,-1013,24,9,9,1,-1023,"[-2, 0] ",0
main,74,16, T1T2 ,0,14,8,8,1,-1013,15,6,6,1,-1014,"[-2, 0] ",0
main,75,16, T1T2 ,0,8,3,3,1,-1007,13,1,1,1,-1012,"[-2, 0] ",0
main,76,16, T1T2 ,0,8,5,5,1,-1007,10,0,9,0,-1009,"[-2, 0] ",0
main,77,16, T1T2 ,0,8,2,2,1,-1007,16,9,9,1,-1015,"[-2, 0] ",0
main,78,16, T1T2 ,0,8,5,5,1,-1007,18,1,1,1,-1017,"[-2, 0] ",0
main,79,16, T1T2 ,0,8,7,7,1,-1007,9,5,5,1,-1008,"[-2, 0] ",0
main,80,16, T1T2 ,0,10,7,8,0,-1009,15,8,2,0,-1014,"[6, 0] ",0
main,81,16, T1T2 ,0,10,8,8,1,-1009,12,2,8,0,-1011,"[6, 0] ",0
main,82,16, T1T2 ,0,10,8,8,1,-1009,18,5,5,1,-1017,"[6, 0] ",0
