experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	timingBlips
main	0 	Adi 	 T1T2 	 0.0 	6 	8 	1 	0.0 	-1005.0 	11 	9 	8 	0.0 	-1010.0 	[6, 0] 	0
main	1 	Adi 	 T1T2 	 0.0 	6 	8 	0 	0.0 	-1005.0 	8 	1 	8 	0.0 	-1007.0 	[6, 0] 	0
main	2 	Adi 	 T1T2 	 0.0 	6 	5 	5 	1.0 	-1005.0 	16 	4 	4 	1.0 	-1015.0 	[6, 0] 	0
main	3 	Adi 	 T1T2 	 0.0 	6 	0 	0 	1.0 	-1005.0 	7 	1 	1 	1.0 	-1006.0 	[6, 0] 	0
main	4 	Adi 	 T1T2 	 0.0 	6 	6 	6 	1.0 	-1005.0 	14 	5 	5 	1.0 	-1013.0 	[6, 0] 	0
main	5 	Adi 	 T1T2 	 0.0 	14 	1 	1 	1.0 	-1013.0 	19 	4 	2 	0.0 	-1018.0 	[6, 0] 	0
main	6 	Adi 	 T1T2 	 0.0 	14 	7 	0 	0.0 	-1013.0 	16 	8 	7 	0.0 	-1015.0 	[6, 0] 	0
main	7 	Adi 	 T1T2 	 0.0 	14 	5 	2 	0.0 	-1013.0 	24 	8 	8 	1.0 	-1023.0 	[6, 0] 	0
main	8 	Adi 	 T1T2 	 0.0 	14 	1 	5 	0.0 	-1013.0 	15 	6 	4 	0.0 	-1014.0 	[6, 0] 	0
main	9 	Adi 	 T1T2 	 0.0 	14 	3 	3 	1.0 	-1013.0 	22 	8 	8 	1.0 	-1021.0 	[6, 0] 	0
main	10 	Adi 	 T1T2 	 0.0 	8 	6 	6 	1.0 	-1007.0 	13 	0 	1 	0.0 	-1012.0 	[6, 0] 	0
main	11 	Adi 	 T1T2 	 0.0 	8 	2 	2 	1.0 	-1007.0 	10 	4 	4 	1.0 	-1009.0 	[6, 0] 	0
main	12 	Adi 	 T1T2 	 0.0 	8 	3 	3 	1.0 	-1007.0 	18 	2 	2 	1.0 	-1017.0 	[6, 0] 	0
main	13 	Adi 	 T1T2 	 0.0 	8 	6 	4 	0.0 	-1007.0 	9 	4 	6 	0.0 	-1008.0 	[6, 0] 	0
main	14 	Adi 	 T1T2 	 0.0 	8 	5 	7 	0.0 	-1007.0 	16 	8 	8 	1.0 	-1015.0 	[6, 0] 	0
main	15 	Adi 	 T1T2 	 0.0 	10 	6 	5 	0.0 	-1009.0 	15 	9 	6 	0.0 	-1014.0 	[6, 0] 	0
main	16 	Adi 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	12 	3 	3 	1.0 	-1011.0 	[6, 0] 	0
main	17 	Adi 	 T1T2 	 0.0 	10 	0 	3 	0.0 	-1009.0 	20 	3 	6 	0.0 	-1019.0 	[6, 0] 	0
main	18 	Adi 	 T1T2 	 0.0 	10 	7 	2 	0.0 	-1009.0 	11 	2 	9 	0.0 	-1010.0 	[6, 0] 	0
main	19 	Adi 	 T1T2 	 0.0 	10 	4 	2 	0.0 	-1009.0 	18 	9 	9 	1.0 	-1017.0 	[6, 0] 	0
main	20 	Adi 	 T1T2 	 0.0 	6 	6 	2 	0.0 	-1005.0 	11 	2 	8 	0.0 	-1010.0 	[-6, 0] 	0
main	21 	Adi 	 T1T2 	 0.0 	6 	6 	1 	0.0 	-1005.0 	8 	9 	2 	0.0 	-1007.0 	[-6, 0] 	0
