browser,duration,endTime,feedback,isi,judgment,startTime,subjectID,type,velocityFraction
Chrome,1050,,,979,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,1.1
Chrome,1050,,,1021,76,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,0.9
Chrome,1050,,,1038,76,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,1.2
Chrome,1050,,,996,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,0.7000000000000001
Chrome,1050,,,971,76,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,0.8
Chrome,1050,,,1039,76,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,1.3
Chrome,1050,,,1018,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,0.8
Chrome,1050,,,1034,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,0.5
Chrome,1050,,,952,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,0.7000000000000001
Chrome,1050,,,957,76,2019-07-20T22:12:49.696Z,A10O5YR01H865K,spikey,1.2
Chrome,1050,,,1029,83,2019-07-20T22:12:49.696Z,A10O5YR01H865K,spikey,0.7000000000000001
Chrome,1050,,,991,83,2019-07-20T22:12:49.696Z,A10O5YR01H865K,spikey,0.8
Chrome,1050,,,959,83,2019-07-20T22:12:49.696Z,A10O5YR01H865K,spikey,0.5
Chrome,1050,,,1008,83,2019-07-20T22:12:49.696Z,A10O5YR01H865K,spikey,1.0
Chrome,1050,,,1043,83,2019-07-20T22:12:49.696Z,A10O5YR01H865K,spikey,1.1
Chrome,1050,,,988,83,2019-07-20T22:12:49.696Z,A10O5YR01H865K,spikey,1.0
Chrome,1050,,,993,83,2019-07-20T22:12:49.696Z,A10O5YR01H865K,spikey,0.7000000000000001
Chrome,1050,,,999,76,2019-07-20T22:12:49.696Z,A10O5YR01H865K,spikey,1.1
Chrome,1050,,,1028,76,2019-07-20T22:05:21.671Z,A13JMFIKC0UKYS,spikey,1.2
Chrome,1050,,,956,83,2019-07-20T22:05:21.671Z,A13JMFIKC0UKYS,spikey,1.0
Chrome,1050,,,994,76,2019-07-20T22:05:21.671Z,A13JMFIKC0UKYS,spikey,0.9
Chrome,1050,,,957,83,2019-07-20T22:05:21.671Z,A13JMFIKC0UKYS,spikey,0.6000000000000001
Chrome,1050,,,1029,83,2019-07-20T22:05:21.671Z,A13JMFIKC0UKYS,spikey,0.5
Chrome,1050,,,1008,76,2019-07-20T22:05:21.671Z,A13JMFIKC0UKYS,spikey,1.2
Chrome,1050,,,1044,83,2019-07-20T22:05:21.671Z,A13JMFIKC0UKYS,spikey,0.7000000000000001
Chrome,1050,,,989,76,2019-07-20T22:05:21.671Z,A13JMFIKC0UKYS,spikey,1.3
Chrome,1050,2019-07-20T22:17:29.306Z,No problems.,992,83,2019-07-20T22:05:21.671Z,A13JMFIKC0UKYS,spikey,1.1
Chrome,1050,,,963,83,2019-07-19T22:18:09.277Z,A19R9046KFC12H,spikey,0.7000000000000001
Chrome,1050,,,962,76,2019-07-19T22:18:09.277Z,A19R9046KFC12H,spikey,1.0
Chrome,1050,,,989,83,2019-07-19T22:18:09.277Z,A19R9046KFC12H,spikey,0.8
Chrome,1050,,,981,76,2019-07-19T22:18:09.277Z,A19R9046KFC12H,spikey,0.6000000000000001
Chrome,1050,,,984,83,2019-07-19T22:18:09.277Z,A19R9046KFC12H,spikey,0.9
Chrome,1050,,,991,76,2019-07-19T22:18:09.277Z,A19R9046KFC12H,spikey,1.1
Chrome,1050,,,981,83,2019-07-19T22:18:09.277Z,A19R9046KFC12H,spikey,0.6000000000000001
Chrome,1050,,,997,76,2019-07-19T22:18:09.277Z,A19R9046KFC12H,spikey,1.2
Chrome,1050,,,992,76,2019-07-19T22:18:09.277Z,A19R9046KFC12H,spikey,0.7000000000000001
Chrome,1050,,,1008,76,2019-07-20T20:17:29.876Z,A1DNJ17PE2RYJZ,spikey,0.8
Chrome,1050,,,971,76,2019-07-20T20:17:29.876Z,A1DNJ17PE2RYJZ,spikey,0.5
Chrome,1050,,,954,76,2019-07-20T20:17:29.876Z,A1DNJ17PE2RYJZ,spikey,1.2
Chrome,1050,,,953,76,2019-07-20T20:17:29.876Z,A1DNJ17PE2RYJZ,spikey,0.9
Chrome,1050,,,986,76,2019-07-20T20:17:29.876Z,A1DNJ17PE2RYJZ,spikey,1.2
Chrome,1050,,,953,76,2019-07-20T20:17:29.876Z,A1DNJ17PE2RYJZ,spikey,1.1
Chrome,1050,,,1003,76,2019-07-20T20:17:29.876Z,A1DNJ17PE2RYJZ,spikey,1.3
Chrome,1050,,,1027,83,2019-07-20T20:17:29.876Z,A1DNJ17PE2RYJZ,spikey,0.5
Chrome,1050,,,1038,83,2019-07-20T20:17:29.876Z,A1DNJ17PE2RYJZ,spikey,0.6000000000000001
Firefox,1050,,,1035,76,2019-07-20T19:54:29.496Z,A1KH1O9AZ7S642,spikey,1.0
Firefox,1050,,,997,83,2019-07-20T19:54:29.496Z,A1KH1O9AZ7S642,spikey,0.6000000000000001
Firefox,1050,,,1024,83,2019-07-20T19:54:29.496Z,A1KH1O9AZ7S642,spikey,0.8
Firefox,1050,,,950,83,2019-07-20T19:54:29.496Z,A1KH1O9AZ7S642,spikey,1.0
Firefox,1050,,,976,76,2019-07-20T19:54:29.496Z,A1KH1O9AZ7S642,spikey,1.1
Firefox,1050,,,1047,83,2019-07-20T19:54:29.496Z,A1KH1O9AZ7S642,spikey,0.9
Firefox,1050,,,1028,76,2019-07-20T19:54:29.496Z,A1KH1O9AZ7S642,spikey,1.1
Firefox,1050,,,1026,83,2019-07-20T19:54:29.496Z,A1KH1O9AZ7S642,spikey,0.5
Firefox,1050,,,980,83,2019-07-20T19:54:29.496Z,A1KH1O9AZ7S642,spikey,0.6000000000000001
Chrome,1050,,,961,83,2019-07-19T22:00:36.229Z,A1LSGYXKP6O1B8,spikey,0.9
Chrome,1050,,,1002,83,2019-07-19T22:00:36.229Z,A1LSGYXKP6O1B8,spikey,0.5
Chrome,1050,,,966,76,2019-07-19T22:00:36.229Z,A1LSGYXKP6O1B8,spikey,1.2
Chrome,1050,,,1029,76,2019-07-19T22:00:36.229Z,A1LSGYXKP6O1B8,spikey,1.2
Chrome,1050,,,951,83,2019-07-19T22:00:36.229Z,A1LSGYXKP6O1B8,spikey,0.5
Chrome,1050,,,1012,76,2019-07-19T22:00:36.229Z,A1LSGYXKP6O1B8,spikey,1.1
Chrome,1050,,,1024,83,2019-07-19T22:00:36.229Z,A1LSGYXKP6O1B8,spikey,0.9
Chrome,1050,,,994,76,2019-07-19T22:00:36.229Z,A1LSGYXKP6O1B8,spikey,0.7000000000000001
Chrome,1050,2019-07-19T22:11:28.999Z,,1018,76,2019-07-19T22:00:36.229Z,A1LSGYXKP6O1B8,spikey,1.0
Chrome,1050,,,967,76,2019-07-20T20:56:50.236Z,A1M24593XO5Z3C,spikey,1.3
Chrome,1050,,,953,83,2019-07-20T20:56:50.236Z,A1M24593XO5Z3C,spikey,0.9
Chrome,1050,,,1020,83,2019-07-20T20:56:50.236Z,A1M24593XO5Z3C,spikey,0.8
Chrome,1050,,,957,76,2019-07-20T20:56:50.236Z,A1M24593XO5Z3C,spikey,0.8
Chrome,1050,,,1032,83,2019-07-20T20:56:50.236Z,A1M24593XO5Z3C,spikey,1.3
Chrome,1050,,,951,76,2019-07-20T20:56:50.236Z,A1M24593XO5Z3C,spikey,0.7000000000000001
Chrome,1050,,,952,83,2019-07-20T20:56:50.236Z,A1M24593XO5Z3C,spikey,0.8
Chrome,1050,,,1003,83,2019-07-20T20:56:50.236Z,A1M24593XO5Z3C,spikey,0.6000000000000001
Chrome,1050,2019-07-20T21:19:07.958Z,,991,83,2019-07-20T20:56:50.236Z,A1M24593XO5Z3C,spikey,0.5
Chrome,1050,,,1011,76,2019-07-19T21:24:44.136Z,A1P2RQ166VS5BT,spikey,1.2
Chrome,1050,,,1001,83,2019-07-19T21:24:44.136Z,A1P2RQ166VS5BT,spikey,0.7000000000000001
Chrome,1050,,,1004,76,2019-07-19T21:24:44.136Z,A1P2RQ166VS5BT,spikey,1.1
Chrome,1050,,,953,76,2019-07-19T21:24:44.136Z,A1P2RQ166VS5BT,spikey,1.3
Chrome,1050,,,986,83,2019-07-19T21:24:44.136Z,A1P2RQ166VS5BT,spikey,0.6000000000000001
Chrome,1050,,,973,83,2019-07-19T21:24:44.136Z,A1P2RQ166VS5BT,spikey,0.9
Chrome,1050,,,1004,83,2019-07-19T21:24:44.136Z,A1P2RQ166VS5BT,spikey,1.2
Chrome,1050,,,971,83,2019-07-19T21:24:44.136Z,A1P2RQ166VS5BT,spikey,0.5
Chrome,1050,2019-07-19T21:35:49.492Z,No problems!  I just felt like I was cross eyed!  ,953,83,2019-07-19T21:24:44.136Z,A1P2RQ166VS5BT,spikey,0.9
Chrome,1050,,,981,83,2019-07-20T19:52:24.945Z,A1PAY3X73PQ16S,spikey,1.0
Chrome,1050,,,972,76,2019-07-20T19:52:24.945Z,A1PAY3X73PQ16S,spikey,1.3
Chrome,1050,,,967,83,2019-07-20T19:52:24.945Z,A1PAY3X73PQ16S,spikey,0.9
Chrome,1050,,,958,83,2019-07-20T19:52:24.945Z,A1PAY3X73PQ16S,spikey,1.2
Chrome,1050,,,1006,76,2019-07-20T19:52:24.945Z,A1PAY3X73PQ16S,spikey,0.9
Chrome,1050,,,1037,83,2019-07-20T19:52:24.945Z,A1PAY3X73PQ16S,spikey,1.1
Chrome,1050,,,990,83,2019-07-20T19:52:24.945Z,A1PAY3X73PQ16S,spikey,0.8
Chrome,1050,,,1046,83,2019-07-20T19:52:24.945Z,A1PAY3X73PQ16S,spikey,0.9
Chrome,1050,2019-07-20T20:04:07.974Z,,1032,83,2019-07-20T19:52:24.945Z,A1PAY3X73PQ16S,spikey,0.6000000000000001
Chrome,1050,,,1031,76,2019-07-20T20:23:54.628Z,A1PB9RGHUXNVP6,spikey,1.1
Chrome,1050,,,1010,83,2019-07-20T20:23:54.628Z,A1PB9RGHUXNVP6,spikey,0.9
Chrome,1050,,,1005,76,2019-07-20T20:23:54.628Z,A1PB9RGHUXNVP6,spikey,0.6000000000000001
Chrome,1050,,,1031,83,2019-07-20T20:23:54.628Z,A1PB9RGHUXNVP6,spikey,0.5
Chrome,1050,,,1010,76,2019-07-20T20:23:54.628Z,A1PB9RGHUXNVP6,spikey,0.7000000000000001
Chrome,1050,,,1009,76,2019-07-20T20:23:54.628Z,A1PB9RGHUXNVP6,spikey,0.9
Chrome,1050,,,982,76,2019-07-20T20:23:54.628Z,A1PB9RGHUXNVP6,spikey,0.7000000000000001
Chrome,1050,,,1035,83,2019-07-20T20:23:54.628Z,A1PB9RGHUXNVP6,spikey,0.6000000000000001
