Duration,Response,Stimulus condition
1.525,1.0960296110006311,0
1.125,1.3201056609996158,0
0.975,0.6481311489997097,2
1.375,0.9039984809996895,1
1.125,1.4001296829992498,1
1.25,0.9279968269993333,0
1.125,0.6079902550000043,0
0.75,0.535997689999931,1
0.975,0.7279991190007422,0
0.9,0.5759984919995986,0
1.125,0.7680004739995638,0
1.45,1.0479961579994779,0
0.975,0.9439997539993783,0
1.25,0.8879982700000255,0
1.05,0.9599961320000148,0
1.125,0.8559999079998306,0
1.05,0.8959977029999209,0
1.375,0.848028854000404,1
1.05,0.456007963999582,1
0.975,0.6961173509998844,2
1.05,0.7520291109995014,0
0.75,0.5040373739993811,1
0.825,0.5919909549993463,0
1.525,0.8640812740004549,2
0.9,0.760000551000303,0
1.05,0.7840001670001584,1
1.45,0.9761317030006467,2
1.525,1.1439982199999577,1
1.05,0.9282024889998866,2
1.45,1.3999968680000165,1
0.825,0.7999924220002868,0
1.375,1.2880002100000638,0
0.9,0.7280007300005309,0
1.05,0.8879997580006602,1
0.75,0.6320016919999034,0
1.45,1.2639980640005888,1
1.45,1.2399943509999503,1
1.525,1.5200013599996964,0
1.125,1.0961298740003258,2
0.75,0.8081996810005876,0
1.25,0.7840307489996121,1
1.45,0.9200262690001182,0
1.25,0.9280066609999267,1
1.125,0.8641263709996565,2
0.975,0.7519914409995181,1
0.975,0.7920008800001597,0
1.375,1.183993243000259,1
0.75,0.5280293460000394,0
0.825,0.7359970059997067,0
1.125,1.096005019999211,0
1.25,1.1359987939995335,0
1.25,1.2881083239999498,0
1.45,0.9119864220001546,0
1.375,1.1041250020007283,2
1.45,1.0000073269993663,0
1.25,1.1201080850005383,2
1.375,1.07203989700065,0
1.25,1.0559989570001562,1
1.45,1.2320249320000585,0
1.525,1.4320006889993238,0
1.05,1.160115763000249,2
1.525,1.2560153929998705,0
1.125,0.8880263199998808,1
0.75,0.7841271190000043,2
0.825,0.43202901299991936,0
0.975,0.840037052000298,0
1.25,0.8959935049997512,0
1.525,0.839998141000251,1
0.9,0.8401290940000763,2
0.9,0.6079989410000053,0
0.825,0.7841170089996012,2
0.9,0.6720153759997629,2
0.75,0.6000025140001526,1
1.375,1.048004829999627,0
1.45,1.432000011999662,2
0.9,0.7680009069999869,0
0.75,0.704011754000021,2
1.375,1.256124131999968,2
1.25,1.0239988749999611,0
0.9,0.8319984429999749,1
1.45,1.0240046219996657,0
0.825,0.9521192430001975,2
0.75,0.6239843660005135,0
1.125,0.8560298780002995,0
0.825,0.5759965130000637,0
1.05,0.8881206250007381,2
0.825,0.6959996730001876,1
1.525,1.1600293759993292,1
1.05,0.8559973359997457,0
0.825,0.5999952649999614,0
0.825,0.6399971209993964,1
0.975,0.839989587000673,1
0.75,0.5279802220002239,0
1.525,1.2639981339998485,0
0.975,1.0481278440001915,0
1.25,1.0561285130006581,2
0.75,0.7841260810000676,2
1.525,1.0881413260003683,2
1.375,1.2161267709998356,2
0.9,0.816130578999946,2
1.05,0.9520298469997215,0
0.825,0.5759917659997882,1
1.375,1.0959966540003734,0
0.75,0.5040010610000536,0
1.525,1.2321197820001544,2
0.975,0.8719980340001712,1
0.975,0.9761095710000518,2
1.05,0.8079916139995476,0
0.9,0.5999971010005538,1
0.975,0.8399990389998493,0
1.375,1.0240128390005339,0
0.9,0.7200016050001068,0
1.375,1.063988333999987,0
1.45,1.2401244460006637,2
1.525,1.5279991509996762,0
1.25,1.1681494650001696,2
0.9,0.7600057720001132,1
1.125,1.2400159979997625,2
0.825,0.7521228909999991,2
1.125,0.7599804519995814,1
