experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	timingBlips
main	74 	Adi 	 T1 	 0.0 	6 	L 	X 	0.0 	-1.0 	0
main	75 	Adi 	 T1 	 0.0 	10 	M 	D 	0.0 	1.0 	0
main	76 	Adi 	 T1 	 0.0 	9 	N 	W 	0.0 	-2.0 	0
main	77 	Adi 	 T1 	 0.0 	8 	B 	B 	1.0 	0.0 	0
main	78 	Adi 	 T1 	 0.0 	9 	B 	B 	1.0 	0.0 	0
main	79 	Adi 	 T1 	 0.0 	9 	X 	W 	0.0 	1.0 	0
main	80 	Adi 	 T1 	 0.0 	10 	A 	A 	1.0 	0.0 	0
main	81 	Adi 	 T1 	 0.0 	9 	H 	H 	1.0 	0.0 	0
main	82 	Adi 	 T1 	 0.0 	8 	D 	D 	1.0 	0.0 	0
main	83 	Adi 	 T1 	 0.0 	10 	J 	M 	0.0 	-1.0 	0
main	84 	Adi 	 T1 	 0.0 	10 	O 	J 	0.0 	1.0 	0
main	85 	Adi 	 T1 	 0.0 	6 	J 	R 	0.0 	1.0 	0
main	86 	Adi 	 T1 	 0.0 	8 	U 	U 	1.0 	0.0 	0
main	87 	Adi 	 T1 	 0.0 	6 	S 	S 	1.0 	0.0 	0
main	88 	Adi 	 T1 	 0.0 	10 	L 	E 	0.0 	1.0 	0
main	89 	Adi 	 T1 	 0.0 	7 	P 	Y 	0.0 	1.0 	0
main	90 	Adi 	 T1 	 0.0 	8 	W 	M 	0.0 	2.0 	0
main	91 	Adi 	 T1 	 0.0 	6 	H 	Y 	0.0 	2.0 	0
main	92 	Adi 	 T1 	 0.0 	6 	D 	D 	1.0 	0.0 	0
main	93 	Adi 	 T1 	 0.0 	7 	W 	W 	1.0 	0.0 	0
main	94 	Adi 	 T1 	 0.0 	7 	A 	A 	1.0 	0.0 	0
main	95 	Adi 	 T1 	 0.0 	8 	E 	U 	0.0 	-6.0 	0
main	96 	Adi 	 T1 	 0.0 	7 	X 	W 	0.0 	-1.0 	0
main	97 	Adi 	 T1 	 0.0 	9 	C 	E 	0.0 	1.0 	0
main	98 	Adi 	 T1 	 0.0 	6 	A 	A 	1.0 	0.0 	0
main	99 	Adi 	 T1 	 0.0 	7 	F 	B 	0.0 	1.0 	0
main	100 	Adi 	 T1 	 0.0 	9 	T 	T 	1.0 	0.0 	0
main	101 	Adi 	 T1 	 0.0 	9 	R 	R 	1.0 	0.0 	0
main	102 	Adi 	 T1 	 0.0 	7 	R 	R 	1.0 	0.0 	0
main	103 	Adi 	 T1 	 0.0 	8 	X 	X 	1.0 	0.0 	0
main	104 	Adi 	 T1 	 0.0 	7 	K 	D 	0.0 	-1.0 	0
main	105 	Adi 	 T1 	 0.0 	6 	S 	S 	1.0 	0.0 	0
main	106 	Adi 	 T1 	 0.0 	10 	L 	P 	0.0 	-2.0 	0
main	107 	Adi 	 T1 	 0.0 	8 	W 	W 	1.0 	0.0 	0
main	108 	Adi 	 T1 	 0.0 	6 	A 	A 	1.0 	0.0 	0
main	109 	Adi 	 T1 	 0.0 	6 	T 	F 	0.0 	-2.0 	0
main	110 	Adi 	 T1 	 0.0 	9 	M 	B 	0.0 	-1.0 	0
main	111 	Adi 	 T1 	 0.0 	6 	C 	C 	1.0 	0.0 	0
main	112 	Adi 	 T1 	 0.0 	8 	M 	M 	1.0 	0.0 	0
main	113 	Adi 	 T1 	 0.0 	10 	G 	G 	1.0 	0.0 	0
main	114 	Adi 	 T1 	 0.0 	10 	V 	X 	0.0 	1.0 	0
main	115 	Adi 	 T1 	 0.0 	9 	U 	A 	0.0 	-1.0 	0
main	116 	Adi 	 T1 	 0.0 	7 	G 	G 	1.0 	0.0 	0
main	117 	Adi 	 T1 	 0.0 	9 	A 	A 	1.0 	0.0 	0
main	118 	Adi 	 T1 	 0.0 	8 	N 	V 	0.0 	-1.0 	0
main	119 	Adi 	 T1 	 0.0 	7 	V 	P 	0.0 	-1.0 	0
main	120 	Adi 	 T1 	 0.0 	7 	Y 	Y 	1.0 	0.0 	0
main	121 	Adi 	 T1 	 0.0 	8 	R 	P 	0.0 	1.0 	0
main	122 	Adi 	 T1 	 0.0 	10 	S 	S 	1.0 	0.0 	0
main	123 	Adi 	 T1 	 0.0 	10 	B 	I 	0.0 	2.0 	0
main	124 	Adi 	 T1 	 0.0 	6 	R 	Y 	0.0 	1.0 	0
main	125 	Adi 	 T1 	 0.0 	8 	Q 	G 	0.0 	-1.0 	0
main	126 	Adi 	 T1 	 0.0 	7 	V 	D 	0.0 	-1.0 	0
main	127 	Adi 	 T1 	 0.0 	10 	C 	N 	0.0 	-1.0 	0
main	128 	Adi 	 T1 	 0.0 	10 	Q 	Z 	0.0 	-1.0 	0
main	129 	Adi 	 T1 	 0.0 	8 	L 	H 	0.0 	-1.0 	0
main	130 	Adi 	 T1 	 0.0 	7 	S 	S 	1.0 	0.0 	0
main	131 	Adi 	 T1 	 0.0 	9 	Y 	Y 	1.0 	0.0 	0
main	132 	Adi 	 T1 	 0.0 	8 	D 	D 	1.0 	0.0 	0
main	133 	Adi 	 T1 	 0.0 	10 	J 	J 	1.0 	0.0 	0
main	134 	Adi 	 T1 	 0.0 	7 	K 	K 	1.0 	0.0 	0
main	135 	Adi 	 T1 	 0.0 	9 	T 	G 	0.0 	-1.0 	0
main	136 	Adi 	 T1 	 0.0 	10 	E 	E 	1.0 	0.0 	0
main	137 	Adi 	 T1 	 0.0 	6 	G 	G 	1.0 	0.0 	0
main	138 	Adi 	 T1 	 0.0 	6 	K 	O 	0.0 	-1.0 	0
main	139 	Adi 	 T1 	 0.0 	9 	Q 	Y 	0.0 	1.0 	0
main	140 	Adi 	 T1 	 0.0 	9 	N 	W 	0.0 	-1.0 	0
main	141 	Adi 	 T1 	 0.0 	8 	F 	F 	1.0 	0.0 	0
main	142 	Adi 	 T1 	 0.0 	6 	E 	D 	0.0 	-1.0 	0
main	143 	Adi 	 T1 	 0.0 	10 	N 	S 	0.0 	-1.0 	0
main	144 	Adi 	 T1 	 0.0 	8 	N 	E 	0.0 	1.0 	0
main	145 	Adi 	 T1 	 0.0 	9 	E 	X 	0.0 	1.0 	0
main	146 	Adi 	 T1 	 0.0 	6 	S 	A 	0.0 	1.0 	0
main	147 	Adi 	 T1 	 0.0 	6 	E 	Z 	0.0 	1.0 	0
main	148 	Adi 	 T1 	 0.0 	7 	Y 	A 	0.0 	-1.0 	0
main	149 	Adi 	 T1 	 0.0 	7 	M 	M 	1.0 	0.0 	0
main	150 	Adi 	 T1 	 0.0 	6 	H 	R 	0.0 	-1.0 	0
main	151 	Adi 	 T1 	 0.0 	8 	C 	C 	1.0 	0.0 	0
main	152 	Adi 	 T1 	 0.0 	9 	H 	V 	0.0 	2.0 	0
main	153 	Adi 	 T1 	 0.0 	8 	X 	B 	0.0 	-1.0 	0
main	154 	Adi 	 T1 	 0.0 	9 	A 	A 	1.0 	0.0 	0
main	155 	Adi 	 T1 	 0.0 	7 	F 	W 	0.0 	1.0 	0
main	156 	Adi 	 T1 	 0.0 	7 	W 	W 	1.0 	0.0 	0
main	157 	Adi 	 T1 	 0.0 	10 	Y 	J 	0.0 	-1.0 	0
main	158 	Adi 	 T1 	 0.0 	6 	L 	L 	1.0 	0.0 	0
main	159 	Adi 	 T1 	 0.0 	10 	E 	N 	0.0 	-1.0 	0
main	160 	Adi 	 T1 	 0.0 	9 	R 	R 	1.0 	0.0 	0
main	161 	Adi 	 T1 	 0.0 	8 	H 	A 	0.0 	1.0 	0
